,Isotope,Decay Energy (keV),Half-life (seconds)
228,84Rb,543.28,1.1000000000000001e-08
229,84Y,67.0,4.6
230,84Y,112.4,7.9e-08
231,84Y,156.7,1.46e-08
232,84Y,162.88,3.2e-08
233,84Y,210.42,2.92e-07
234,84Y,216.11,1.8700000000000002e-08
235,84Nb,48.0,1.7600000000000001e-07
236,84Nb,305.2,5.0000000000000004e-08
237,84Nb,337.0,9.2e-08
238,85Kr,304.871,16128.000000000002
239,85Kr,1991.8,1.82e-06
240,85Rb,514.0064,1.0149999999999998e-06
241,85Rb,2826.55,1.2500000000000001e-08
242,85Sr,238.79,4057.7999999999997
243,85Y,19.68,17496.0
244,85Y,266.18,1.78e-07
245,85Zr,292.2,10.9
246,86Rb,556.05,61.019999999999996
247,86Sr,2956.09,4.55e-07
248,86Y,208.04,7e-08
249,86Y,218.21,2844.0
250,86Y,242.8,2.8600000000000005e-08
251,86Y,302.18,1.27e-07
252,86Tc,1524.0,1.1e-06
253,87Sr,388.533,10134.0
254,87Y,380.82,48132.0
255,87Zr,335.84,14.0
256,87Nb,3.84,156.0
257,87Nb,334.0,2.8000000000000003e-08
258,88Br,270.1,5.51e-06
259,88Rb,1373.8,1.23e-07
260,88Y,392.86,0.000301
261,88Y,674.55,0.013980000000000001
262,88Zr,2887.79,1.32e-06
263,89Kr,28.59,2.17e-08
264,89Y,908.97,15.663
265,89Zr,587.82,249.65999999999997
266,89Nb,2192.92,1.3800000000000001e-08
267,89Mo,387.5,0.19
268,89Tc,62.6,12.9
269,90Rb,106.9,2.58e-07
270,90Y,681.67,11484.0
271,90Zr,1760.71,6.13e-08
272,90Zr,2319.0,0.8092
273,90Zr,3589.419,1.31e-07
274,90Nb,122.37,6.3e-05
275,90Nb,124.67,18.81
276,90Nb,382.01,0.00619
277,90Nb,1880.21,4.6999999999999995e-07
278,90Mo,2874.73,1.12e-06
279,90Tc,144.1,8.7
280,91Kr,144.3,5.6000000000000005e-08
281,91Rb,1133.79,1.6600000000000003e-08
282,91Sr,93.628,8.94e-08
283,91Y,555.58,2982.6
284,91Zr,2287.4,2.9e-08
285,91Zr,3166.6,4.35e-06
286,91Nb,104.62,5258304.0
287,91Nb,1984.26,1e-08
288,91Nb,2034.42,3.7599999999999996e-06
289,91Mo,653.01,64.6
290,91Mo,2267.4,4.7000000000000004e-08
291,91Mo,2279.6,3.8e-08
292,91Tc,139.3,198.0
293,91Rh,172.9,1.46
294,92Br,662.4,8.899999999999999e-08
295,92Br,1137.9,8.4e-08
296,92Rb,284.31,5.4e-08
297,92Nb,135.5,876960.0
298,92Nb,225.8,5.9e-06
299,92Nb,2203.3,1.67e-07
300,92Mo,2760.52,1.9e-07
301,92Tc,270.09,1.0299999999999999e-06
302,92Ru,2535.2,1.6e-08
303,92Ru,2833.9,1.0000000000000001e-07
304,93Kr,354.85,1e-08
305,93Rb,4423.1,1.11e-07
306,93Y,758.719,0.82
307,93Nb,30.77,508360320.00000006
308,93Mo,2424.95,24660.0
309,93Tc,391.84,2610.0
310,93Tc,2185.16,1.0199999999999999e-05
311,93Ru,734.4,10.8
312,93Ru,2082.5,2.4900000000000003e-06
313,93Ru,2280.5,3.5e-08
314,94Br,294.6,5.3e-07
315,94Rb,1485.2,1.8000000000000002e-08
316,94Rb,2074.9,1.07e-07
317,94Y,1202.3,1.3e-06
318,94Nb,40.892,375.78
319,94Nb,140.298,3.0000000000000004e-08
320,94Mo,2955.55,9.8e-08
321,94Tc,76.0,3120.0
322,94Ru,2498.0,6.5e-08
323,94Ru,2644.1,7.099999999999999e-05
324,94Rh,54.6,4.8e-07
325,94Pd,7212.0,1.97e-07
326,95Br,537.9,6.7e-06
327,95Kr,196.9,1.42e-06
328,95Rb,810.57,9.400000000000001e-08
329,95Sr,556.08,2.17e-08
330,95Y,1087.6,4.86e-05
331,95Y,3142.5,1.6e-08
332,95Y,5022.2,6.5e-08
333,95Nb,235.69,311904.0
334,95Tc,38.91,5270400.0
335,95Ru,2538.0,1.005e-08
336,95Rh,543.3,117.6
337,95Rh,2236.37,1.8800000000000003e-08
338,95Pd,1875.13,13.3
339,96Rb,1134.6,1.77e-06
340,96Sr,3523.7,4e-08
341,96Y,1541.0,9.6
342,96Zr,1581.64,3.8e-08
