,Isotope,Decay Energy (keV),Half-life (seconds)
271,87Nb,334.0,2.8000000000000003e-08
272,88Br,270.1,5.5e-06
273,88Rb,1373.8,1.23e-07
274,88Y,392.86,0.000304
275,88Y,674.55,0.014
276,88Zr,2887.79,1.3369999999999999e-06
277,89Kr,28.59,2.17e-08
278,89Rb,1195.48,1e-08
279,89Y,908.97,15.663
280,89Zr,587.82,249.65999999999997
281,89Nb,2192.92,1.3800000000000001e-08
282,89Mo,387.5,0.19
283,89Tc,62.6,12.9
284,90Rb,106.9,2.58e-07
285,90Zr,1760.74,6.13e-08
286,90Zr,2319.0,0.8092
287,90Zr,3589.418,1.31e-07
288,90Nb,122.37,6.3e-05
289,90Nb,124.67,18.88
290,90Nb,382.01,0.00622
291,90Nb,1880.21,4.58e-07
292,90Mo,2874.73,1.1399999999999999e-06
293,90Tc,144.1,8.7
294,91Kr,144.3,5.6000000000000005e-08
295,91Rb,1133.79,1.6600000000000003e-08
296,91Sr,93.628,8.94e-08
297,91Y,555.58,2982.6
298,91Zr,2287.4,2.9e-08
299,91Zr,3166.6,4.35e-06
300,91Nb,104.62,5258304.0
301,91Nb,1984.26,1e-08
302,91Nb,2034.42,3.7599999999999996e-06
303,91Mo,653.01,64.6
304,91Mo,2267.4,4.7000000000000004e-08
305,91Mo,2279.6,3.8e-08
306,91Tc,139.3,198.0
307,92Se,3072.0,1.57e-05
308,92Br,662.4,8.899999999999999e-08
309,92Br,1137.9,8.4e-08
310,92Rb,284.31,5.4e-08
311,92Nb,135.5,875232.0000000001
312,92Nb,225.8,5.9e-06
313,92Nb,2203.3,1.67e-07
314,92Mo,2760.52,1.9200000000000003e-07
315,92Tc,270.09,9.9e-07
316,92Ru,2535.2,1.6e-08
317,92Ru,2837.7,9.9e-08
318,93Kr,354.85,1e-08
319,93Rb,4423.1,1.11e-07
320,93Y,758.719,0.82
321,93Nb,30.76,508360320.00000006
322,93Mo,2424.95,24660.0
323,93Tc,391.84,2610.0
324,93Tc,2185.16,1.0199999999999999e-05
325,93Ru,734.4,10.8
326,93Ru,2082.5,2.4999999999999998e-06
327,93Ru,2280.5,3.5e-08
328,94Se,2430.0,6.800000000000001e-07
329,94Br,294.6,5.3e-07
330,94Kr,3445.0,3.2e-08
331,94Rb,104.01,1.3e-07
332,94Rb,1485.2,1.8000000000000002e-08
333,94Rb,2074.9,1.07e-07
334,94Y,1202.3,1.3e-06
335,94Nb,40.892,375.78
336,94Nb,140.298,3.0000000000000004e-08
337,94Mo,2955.55,9.8e-08
