,AAA,ZZZi,A El,s,Mass #,dMass #,Exc #,dE #,Orig,Isom.Unc,Isom.Inv,T #,unit T,dT,Jpi */#/T=,Ensdf year,Discovery,BR,T in s
5328,40,951,240Am,,54510       ,200       ,3000       ,200       , ,,,940     ,us,40     ,              ,08,1967,SF~100;IT ?,2.978680254518721e-11
5329,40,960,240Cm,,51724.2     ,  1.9     ,           ,          , ,,, 30.4   , d,3.7    ,0+            ,08,1949,A~100;EC ?;SF=3.9e-6 8,0.08323066392881587
5330,40,970,240Bk,,55660#      ,150#      ,           ,          , ,,,  4.8   , m,0.8    ,7-#           ,08,1980,B+ ?;A ?;B+SF=0.0020 13,9.126169290440336e-06
5331,40,973,240Bk,,55900#      ,180#      , 240#      ,100#      , ,,,        ,  ,       ,am            ,  ,,,unknown
5332,40,980,240Cf,,57989       , 18       ,           ,          , ,,, 40.3   , s,0.9    ,0+            ,08,1970,A=98.5 2;SF=1.5 2;B+ ?,1.2770299389053664e-06
5333,40,990,240Es,,64230#      ,370#      ,           ,          , ,,,  6.0   , s,1.7    ,4-#           ,  ,2017,A=70 1;B+=30 1;B+SF=0.16 6,1.9012852688417367e-07
5334,41,910,241Pa,,59740#      ,300#      ,           ,          , ,,, 28#    , m,       ,1/2+#         ,  ,    ,B- ?,5.323598752756863e-05
5335,41,920,241U,,56200#      ,200#      ,           ,          , ,,,  4#    , m,       ,7/2+#         ,15,    ,B- ?,7.605141075366948e-06
5336,41,930,241Np,,54320       ,100       ,           ,          , ,,, 13.9   , m,0.2    ,(5/2+)        ,15,1959,B-=100;A ?,2.6427865236900142e-05
5337,41,940,241Pu,,52955.1     ,  1.1     ,           ,          , ,,, 14.329 , y,0.029  ,5/2+*         ,15,1949,B-~100;A=0.00245 8;SF<2.4e-14,14.329
5338,41,941,241Pu,,53116.8     ,  1.1     , 161.6853  ,  0.0009  , ,,,880     ,ns,50     ,1/2+          ,15,1975,IT=100,2.7885517276345476e-14
5339,41,942,241Pu,,55160       ,200       ,2200       ,200       , ,,, 20.5   ,us,2.2    ,              ,15,1970,SF=100,6.496058001875935e-13
5340,41,950,241Am,,52934.3     ,  1.1     ,           ,          , ,,,432.6   , y,0.6    ,5/2-*         ,15,1949,A=100;SF=3.6e-10 9,432.6
5341,41,951,241Am,,55130       ,200       ,2200       ,200       , ,,,  1.2   ,us,0.3    ,              ,15,1969,SF=100,3.802570537683474e-14
5342,41,960,241Cm,,53701.8     ,  1.6     ,           ,          , ,,, 32.8   , d,0.2    ,1/2+          ,15,1952,EC=99.0 1;A=1.0 1,0.08980150581793292
5343,41,970,241Bk,,55980#      ,170#      ,           ,          , ,,,  4.6   , m,0.4    ,(7/2+)        ,15,2003,B+=?;A ?,8.74591223667199e-06
5344,41,973,241Bk,,56030#      ,170#      ,  51       ,  3       ,D,,,>25#    ,us,       ,(3/2-)        ,15,    ,IT ?,unknown
5345,41,980,241Cf,,59330#      ,170#      ,           ,          , ,,,  2.35  , m,0.18   ,7/2-#         ,15,1970,B+ ?;A=15 1,4.468020381778082e-06
5346,41,983,241Cf,,59480#      ,200#      , 150#      ,100#      ,m,,,        ,  ,       ,1/2+#         ,15,    ,,unknown
5347,41,990,241Es,,63890#      ,230#      ,           ,          , ,,,  5.1   , s,0.8    ,3/2-#         ,15,1996,A~100;B+ ?,1.6160924785154763e-07
5348,41,993,241Es,,64120#      ,250#      , 230#      ,100#      , ,,,        ,  ,       ,am            ,  ,,,unknown
5349,41,000,241Fm,,69220#      ,300#      ,           ,          , ,,,730     ,us,60     ,5/2+#         ,15,2008,SF=?;A<14;B+<12,2.3132304104241133e-11
5350,42,920,242U,,58620#      ,200#      ,           ,          , ,,, 16.8   , m,0.5    ,0+            ,02,1979,B-=100,3.194159251654118e-05
5351,42,930,242Np,,57420       ,200       ,           ,          , ,,,  2.2   , m,0.2    ,(1+)          ,02,1979,B-=100,4.182827591451822e-06
5352,42,931,242Np,,57470#      ,210#      ,  50#      , 50#      , ,,,  5.5   , m,0.1    ,(6+)          ,02,1981,B-=100,1.0457068978629552e-05
5353,42,940,242Pu,,54716.9     ,  1.2     ,           ,          , ,,,375     ,ky,2      ,0+            ,02,1950,A=100;SF=5.510e-4 41,375000.0
5354,42,950,242Am,,55468.0     ,  1.1     ,           ,          , ,,, 16.02  , h,0.02   ,1-*           ,02,1949,B-=82.7 3;EC=17.3 3,0.0018275154004106775
5355,42,951,242Am,,55516.6     ,  1.1     ,  48.60    ,  0.05    , ,,,141     , y,2      ,5-            ,02,1950,IT=99.55 2;A=0.45 2;SF<4.7e-9,141.0
5356,42,952,242Am,,57670       , 80       ,2200       , 80       , ,,, 14.0   ,ms,1.0    ,"(2+,3-)       ",02,1962,SF~100;IT=?,4.436332293964053e-10
5357,42,960,242Cm,,54803.7     ,  1.1     ,           ,          , ,,,162.8   , d,0.2    ,0+            ,02,1949,A=100;SF=6.2e-6 3;34Si=1.1e-14 4;2B+ ?,0.4457221081451061
5358,42,961,242Cm,,57600       ,100       ,2800       ,100       , ,,,180     ,ns,70     ,              ,02,1971,SF ?;IT ?,5.703855806525211e-15
5359,42,970,242Bk,,57750#      ,140#      ,           ,          , ,,,  7.0   , m,1.3    ,3+#           ,02,1972,B+~100;B+SF<3e-5;A ?,1.3308996881892158e-05
