,Beta-decay fraction,Average beta decay energy,Beta-decay energy (keV),Half life (years),Isotope
1761,1.0,5.69,5998.0,9.823307222348974e-07,212Tl
1764,1.0,195.0,3419.5081,8.726899383983572e-05,158Eu
1766,1.0,5.69,3339.4064,1.964661444469795e-06,235Ac
1768,1.0,6.35,1815.4592,0.3141409993155373,182Ta
1772,1.0,5.69,6951.8716,7.795269602251122e-09,128Cd
1773,1.0,5.69,6090.6528,7.573452987552918e-07,95Sr
1778,1.0,189.5,2097.4851,5.3996501635105324e-05,178Lu
1783,1.0,6.7,2120.4209,0.0019398813597992241,188Re
1787,1.0,5.69,12424.5003,4.468020381778082e-09,37Si
1790,1.0,5.69,10420.9094,2.2593606611402638e-07,16N
1794,1.0,5.69,22192.0,4.7532131721043425e-11,35Na
1797,1.0,5.69,7465.5526,1.742844829771592e-07,87Se
1798,1.0,5.69,9351.96,7.573452987552919e-09,103Y
1803,1.0,5.69,4778.0,4.49970846959211e-08,152Ce
1808,1.0,5.69,3707.7131,3.764544832306639e-06,232Ac
1813,1.0,61.0,2190.9095,0.00011768955814130351,240Np
1815,1.0,5.69,16290.8166,1.4354703779755113e-10,14Be
1816,1.0,5.69,11940.3857,2.1642963976981772e-07,48K
1817,1.0,33.0,566.6347,0.0040315993611681495,105Rh
1818,1.0,5.69,3648.2494,2.766370066164727e-07,106Mo
1823,1.0,5.69,11719.3136,9.823307222348974e-09,83Ga
1824,1.0,5.69,5866.3591,2.0692321342560903e-08,98Sr
1827,1.0,5.69,1342.5322,7.605141075366948e-06,232Ra
1839,1.0,5.69,18180.0,6.337617562805789e-10,41Si
1840,1.0,5.69,7998.3286,2.0407128552234644e-08,31Al
1847,1.0,95.77,2822.8058,5.2714,60Co
1851,1.0,5.69,1947.0425,1.4259639516313027e-05,231Ac
1859,1.0,5.69,1203.0,3.194159251654118e-05,242U
1860,1.0,5.69,11245.7673,4.8165893477324e-09,93Br
1862,1.0,5.69,5382.9879,3.938829315283798e-07,34P
1867,1.0,5.69,12721.0,1.2675235125611579e-09,99Kr
1878,1.0,5.69,7856.0,6.812938880016224e-09,161Nd
1888,1.0,5.69,4760.7564,4.277891854893908e-07,121Cd
1889,1.0,52.0,3671.0321,0.03381245722108145,126Sb
1892,1.0,5.69,13806.0653,9.886683397977032e-10,40Si
1896,1.0,5.69,3567.4325,1.837909093213679e-06,183Lu
1900,1.0,5.69,7967.3036,2.5508910690293303e-08,65Fe
1902,1.0,5.69,5119.5577,1.5210282150733894e-07,161Sm
