,Beta-decay fraction,Average beta decay energy,Beta-decay energy (keV),Half life (years),Isotope
1490,1.0,5.69,5688.0,3.0737445179608077e-07,215Tl
1492,1.0,5.69,6632.6837,5.507389662078231e-07,47K
1498,1.0,5.69,12939.0,2.5350470251223157e-09,142Sb
1506,1.0,5.69,10320.0,1.109083073491013e-09,128Pd
1508,1.0,15.8,1397.4983,0.00021800136892539357,177Yb
1513,1.0,5.69,6894.747,3.2480290009379673e-06,50Sc
1515,1.0,5.69,8265.8835,2.2942175577356957e-08,139Te
1519,1.0,5.69,9245.6277,7.700205338809035e-09,61Cr
1521,1.0,5.69,18359.0,1.1090830734910132e-10,32Ne
1528,1.0,5.69,9562.2229,7.022080259588815e-09,86Ge
1530,1.0,41.4,570.2993,0.07385352498288844,233Pa
1536,1.0,5.69,4775.693,8.587471797601845e-07,166Tb
1541,1.0,5.69,6666.8252,6.4643699140619054e-09,116Ru
1545,1.0,5.69,2607.2327,2.560397495373539e-06,109Rh
1548,1.0,51.8,3997.6263,0.0015999315537303218,72Ga
1551,1.0,1247.2,4642.0776,4.2683854285496996e-06,28Al
1552,1.0,5.69,22099.0584,4.404644206150024e-10,23N
1554,1.0,5.69,2975.8745,3.865946713311531e-06,230Ac
1557,1.0,36.2,2699.3714,0.0011008441706593657,91Sr
1565,1.0,5.69,7610.0,3.1371206935888658e-09,158Ce
1568,1.0,5.69,3714.5406,8.302279007275584e-07,161Eu
1570,1.0,5.69,20643.7926,3.916647653813978e-10,14B
1572,1.0,5.69,17236.0,1.1344335437422363e-09,43P
1579,1.0,5.69,7534.7807,1.3689253935660505e-08,97Sr
1582,1.0,5.69,2057.0,0.00621492128678987,247Pu
1586,1.0,5.69,2007.4091,4.620123203285421e-05,223Rn
1590,1.0,186.0,4196.5868,3.384287778538292e-05,45K
1598,1.0,5.69,7030.0,9.823307222348974e-09,162Nd
1599,1.0,5.69,7887.0,3.1371206935888658e-09,118Ru
1600,1.0,5.69,8920.0,1.837909093213679e-09,114Mo
1604,1.0,43.4,2703.4642,0.0012789185489390828,77Ge
1606,1.0,107.0,2866.0,0.0009924709103353866,184Ta
1608,1.0,5.69,17128.6431,3.4856896595431845e-09,52K
1611,1.0,145.0,4656.251,6.0384820138413565e-05,84Br
1614,1.0,86.0,1705.0525,5.8559586280325496e-05,199Pt
1615,1.0,74.0,2914.7839,2.688417370142216e-05,138Xe
1616,1.0,5.69,12737.0,1.6160924785154764e-09,122Rh
1620,1.0,5.69,13369.3979,6.400993738433847e-10,12B
1621,1.0,5.69,14969.0,3.5902603493294796e-09,80Cu
1625,1.0,5.69,6590.0,2.3766065860521712e-08,169Gd
1635,1.0,5.69,2453.6351,3.2955611326590106e-06,231Ra
1640,1.0,5.69,10250.5576,2.9121352701092607e-09,65Mn
1647,1.0,5.69,8261.0,2.6934874641924605e-09,148Xe
1650,1.0,5.69,4533.5134,1.6731310365807285e-07,102Tc
1656,1.0,68.0,3642.5294,0.00040383299110198495,92Y
1659,1.0,5.69,9613.3678,1.2485106598727406e-08,67Fe
1661,1.0,5.69,12194.2869,1.780870535148427e-08,44Cl
1662,1.0,5.69,6831.764,4.848277435546429e-08,88Se
1664,1.0,5.69,1012.0557,2.1484523537911628e-05,102Mo
1665,1.0,5.69,9095.2839,2.170634015260983e-08,116Rh
1668,1.0,5.69,4375.8085,1.1772124622911754e-06,23Ne
1673,1.0,3.55,2058.8368,2.065,134Cs
1677,1.0,5.69,9685.0,5.735543894339239e-09,158Pr
1678,1.0,5.69,2311.375,4.372956118335995e-06,221At
1684,1.0,5.69,13807.0,4.753213172104343e-10,61Ti
1686,1.0,5.69,6280.0423,5.482039191827008e-08,141Xe
1687,1.0,5.69,9506.2662,1.6762998453621314e-08,122Ag
1688,1.0,5.69,8298.6116,6.30592947499176e-08,41S
1690,1.0,5.69,5940.5911,3.6758181864273574e-08,65Co
1693,1.0,5.69,15639.4478,1.0647197505513727e-09,62V
1694,1.0,5.69,9635.0,1.9456485917813772e-09,70Fe
1696,1.0,5.69,6883.9455,2.6427865236900145e-06,136I
1702,1.0,5.69,13460.255,2.915304078890663e-09,33Mg
1708,1.0,5.69,10090.0,1.1883032930260855e-09,110Zr
1709,1.0,27.0,5687.2319,4.2075442999467634e-05,44K
1710,1.0,5.69,15220.0,1.2865363652495753e-09,130Ag
1714,1.0,5.69,3862.6653,5.703855806525211e-06,164Tb
1722,1.0,40.5,496.8425,0.01819110198494182,177Lu
1724,1.0,5.69,14720.0,9.189545466068395e-10,87Ga
1732,1.0,5.69,4154.4548,6.65449844094608e-08,54Ti
1733,1.0,5.69,6461.5416,1.3182244530636044e-07,164Eu
1734,1.0,5.69,7814.9194,1.5939108170456562e-08,36Si
1736,1.0,5.69,9750.5077,5.0891069029330495e-08,74Cu
1744,1.0,211.0,4082.3946,9.981747661419118e-05,134I
1745,1.0,5.69,5116.0,1.625598904859685e-07,169Tb
1758,1.0,65.0,251.9958,0.00622861054072553,66Ni
1759,1.0,5.69,5119.9455,5.586609881613303e-07,136Te
1760,1.0,5.69,1093.0,0.00010571146094760057,251Bk
