,Beta-decay energy (keV),Half life (years),Isotope,Beta-decay fraction,Average beta decay energy,Half life (seconds),Power density (W/g),Evaluation,Half life (log(years))
1940,-1486.6695,unknown,199Hg,0.0,7.6,unknown,unknown,0.0,0.0
1941,-7291.5642,2.5857479656247625e-06,101Cd,0.0,unknown,81.60000000000001,unknown,0.0,-12.865495743452895
1942,4823.5559,8.872664587928105e-08,113Rh,1.0,unknown,2.7999999999999994,unknown,0.0,-16.2377055882418
1943,-4525.0,6.65449844094608e-10,260Rf,0.0,unknown,0.021,unknown,0.0,-21.13055784668167
1944,-21390.0,unknown,37Sc,0.0,unknown,unknown,unknown,0.0,0.0
1945,14590.0,6.0207366846655e-10,126Rh,1.0,unknown,0.019,unknown,0.0,-21.230641305238652
1946,-13456.0,5.662661292366973e-09,59Zn,0.0,unknown,0.1787,unknown,0.0,-18.98937186223971
1947,-933.5116,0.023420000000000003,236U,0.0,4332,739078.9920000001,830.5048019815274,0.0,-3.7541649208125656
1948,-883.5727,3.961010976753619e-15,213At,0.0,unknown,1.25e-07,unknown,0.0,-33.16227710506707
1949,-6980.0942,1.2231601896215173e-06,157Yb,0.0,unknown,38.599999999999994,unknown,0.0,-13.614072728952172
1950,-6533.0066,9.506426344208685e-11,266Hs,0.0,unknown,0.003,unknown,0.0,-23.076467995736984
1951,2453.6351,3.2955611326590106e-06,231Ra,1.0,unknown,103.99999999999999,unknown,0.0,-12.622934106281583
1952,-17720.0,2.6142672446573883e-09,62Ge,0.0,unknown,0.0825,unknown,0.0,-19.76228199106446
1953,3023.4392,4.011711917256065e-06,165Tb,1.0,unknown,126.6,unknown,0.0,-12.42629249571288
1954,*,4.753213172104343e-10,198Fr,0.0,unknown,0.015,unknown,0.0,-21.467030083302884
1955,-8915.8902,2.0914137957259105e-07,113I,0.0,unknown,6.6,unknown,0.0,-15.380255356390576
1956,-8779.9397,3.263873044844982e-07,152Er,0.0,unknown,10.3,unknown,0.0,-14.935181110187365
1957,8088.6967,3.878621948437143e-08,75Cu,1.0,unknown,1.224,unknown,0.0,-17.065200821332823
1958,4970.4627,6.05242477247953e-07,230Fr,1.0,unknown,19.1,unknown,0.0,-14.317636670370371
1959,-4990.9836,unknown,156Dy,0.0,unknown,unknown,unknown,0.0,0.0
1960,-3038.5844,unknown,148Sm,0.0,unknown,unknown,unknown,0.0,0.0
1961,-9485.6366,1.0045123837047177e-09,212Th,0.0,unknown,0.0317,unknown,0.0,-20.718763603521857
1962,-2601.0,1.267523512561158e-08,272Mt,0.0,unknown,0.39999999999999997,unknown,0.0,-18.18361573729711
1963,-1025.6117,0.05117864476386037,227Th,0.0,5229.2,1615075.2000000002,476.9505105642944,0.0,-2.972432928400614
1964,8111.8785,7.605141075366947e-08,53Sc,1.0,unknown,2.4,unknown,0.0,-16.391856268069056
1965,6588.3675,1.410119907724288e-06,70Cu,1.0,unknown,44.49999999999999,unknown,0.0,-13.471835816250762
1966,-6489.4269,1.1027454559282074e-05,119Xe,0.0,unknown,347.99999999999994,unknown,0.0,-11.415122525648481
1967,11120.0,2.376606586052171e-09,145Te,0.0,unknown,0.075,unknown,0.0,-19.857592170868784
1968,-1837.6,0.39534565366187546,159Dy,0.0,5,12476160.000000002,0.08428469058288161,0.0,-0.9279948241720829
1969,-2735.0,2.6934874641924607e-14,220Pa,0.0,unknown,8.5e-07,unknown,0.0,-31.245354492885006
1970,-11340.0,5.862296245595356e-07,150Er,0.0,unknown,18.5,unknown,0.0,-14.349554273338677
1971,*,2.535047025122316e-08,237Cf,0.0,unknown,0.7999999999999999,unknown,0.0,-17.490468556737166
1972,-2756.101,2.915304078890663e-07,140Pm,0.0,unknown,9.199999999999998,unknown,0.0,-15.048121521367962
1973,-105.5863,unknown,160Gd,0.0,unknown,unknown,unknown,0.0,0.0
1974,3441.9774,0.00010685223210890562,39Cl,1.0,163,3372.0,41442.65398903844,7.042329655780414e-28,-9.14406368630121
1975,4775.693,8.587471797601845e-07,166Tb,1.0,unknown,27.099999999999998,unknown,0.0,-13.9677912775373
1976,-1377.9665,unknown,46Ca,0.0,unknown,unknown,unknown,0.0,0.0
1977,3209.0164,1.6477805663295053e-06,196Ir,1.0,unknown,51.99999999999999,unknown,0.0,-13.316081286841529
1978,6868.4609,4.658148908662255e-08,155Pr,1.0,unknown,1.4699999999999998,unknown,0.0,-16.88206260463231
1979,*,unknown,33Ca,0.0,unknown,unknown,unknown,0.0,0.0
1980,-3007.9406,0.0006046087154916724,251Fm,0.0,unknown,19080.0,unknown,0.0,-7.410929060420679
1981,-1550.0,1.901285268841737e-06,283Ds,0.0,unknown,60.0,unknown,0.0,-13.172980443200855
1982,2051.0,3.5173777473572135e-06,243Np,1.0,unknown,111.0,unknown,0.0,-12.557794804110621
1983,-7247.0279,4.689836996476284e-10,186Bi,0.0,unknown,0.014799999999999999,unknown,0.0,-21.480453103635025
1984,*,3.168808781402895e-12,276Cn,0.0,unknown,0.0001,unknown,0.0,-26.477665377399138
1985,3682.0153,3.485689659543184e-07,111Rh,1.0,unknown,10.999999999999998,unknown,0.0,-14.869429732624585
1986,-3461.6215,0.001483002509696555,183Os,0.0,unknown,46800.0,unknown,0.0,-6.513686523517218
1987,-7001.8072,1.4893401272593607e-13,222U,0.0,unknown,4.7e-06,unknown,0.0,-29.53527305467122
1988,1373.5226,0.007377522245037646,198Au,1.0,7.42,232816.896,5.382454139200805,4.723506959414114e-17,-4.909317435897554
1989,-3757.0,2.053388090349076e-05,243Cf,0.0,unknown,648.0,unknown,0.0,-10.793434309070681
1990,4508.9455,0.00017320708799148222,142La,1.0,142.4,5465.999999999999,6134.529307778262,4.969429432045255e-27,-8.661022638934943
1991,15640.0,1.5527163028874185e-09,86Ga,1.0,unknown,0.049,unknown,0.0,-20.283259986294468
1992,-2680.3708,unknown,84Kr,0.0,unknown,unknown,unknown,0.0,0.0
1993,1404.0231,0.0005236139630390143,179Lu,1.0,55.9,16524.0,631.9624093239984,3.57092722895576e-24,-7.554755856906301
1994,-2590.7577,0.0001098942885390524,229U,0.0,unknown,3468.0,unknown,0.0,-9.115991667522524
1995,-2085.0,9.506426344208685e-07,287Cn,0.0,unknown,30.0,unknown,0.0,-13.8661276237608
1996,9013.3301,2.1864780591679975e-09,102Sr,1.0,unknown,0.06899999999999999,unknown,0.0,-19.940973779807834
1997,-6081.2029,3.802570537683474e-06,137Pm,0.0,unknown,120.0,unknown,0.0,-12.47983326264091
1998,-13088.708,7.1155601186402e-07,21Na,0.0,unknown,22.454999999999995,unknown,0.0,-14.155811698883255
1999,-837.0348,0.007323750855578372,182Re,0.0,5.95,231120.00000000003,4.730032905901015,0.0,-4.916632670282839
2000,-2754.1841,unknown,15N,0.0,unknown,unknown,unknown,0.0,0.0
2001,-5047.25,4.49970846959211e-07,164Ta,0.0,unknown,14.199999999999998,unknown,0.0,-14.614083040815741
2002,-6237.0,1.2770299389053664e-06,240Cf,0.0,unknown,40.29999999999999,unknown,0.0,-13.57097353647032
2003,-164.4982,unknown,145Nd,0.0,unknown,unknown,unknown,0.0,0.0
2004,-1748.3977,unknown,138Ba,0.0,unknown,unknown,unknown,0.0,0.0
2005,-16916.0,5.735543894339239e-09,37Ca,0.0,unknown,0.18099999999999997,unknown,0.0,-18.976583253139268
2006,1835.9516,0.1979466119096509,160Tb,1.0,85,6246719.999999999,2.843830079025499,6.70329334201665e-06,-1.61975792146609
2007,5696.0,3.01036834233275e-07,220Bi,1.0,unknown,9.499999999999998,unknown,0.0,-15.016033206816461
2008,2889.0,1.901285268841737e-06,226Po,0.0,unknown,60.0,unknown,0.0,-13.172980443200855
2009,*,3.168808781402895e-08,127Pm,0.0,unknown,0.9999999999999999,unknown,0.0,-17.267325005422958
2010,*,6.274241387177732e-10,55Zn,0.0,unknown,0.019799999999999998,unknown,0.0,-21.189398346704603
2011,9138.8323,3.4223134839151262e-09,123Pd,1.0,unknown,0.10799999999999998,unknown,0.0,-19.492949057280875
