,Parent Isotope,Mean Power Density Over 100 years (watts per gram)
2029,224Po,3189010.2645078083
660,239Th,3183167.6712418227
2134,229Fr,3068368.693841061
1042,217Tl,3039634.1934039197
146,217Bi,3005755.9231501026
2972,224Fr,2964186.448274364
307,220At,2963194.241774312
1888,34Cl,2829990.3108243793
1480,17F,2789576.2029337264
685,221Bi,2725878.3331746114
2429,252Bk,2526043.877100396
2901,146Tb,2499098.2458766596
2475,241U,2408859.4143258566
997,235Ac,2398461.0658317367
2469,227Po,2337230.312830515
1663,223Ac,2226120.143730687
1478,232Ra,2162709.981471502
285,215Bi,2155153.9663925935
114,221Po,2119690.726312087
1343,221At,2057203.2900308818
1761,231Rn,2039176.5728331066
519,236Ac,2006254.3687870037
2950,237Th,1991677.4318368495
13,243Np,1976007.162623962
1889,209Tl,1973566.344325596
1521,231Ra,1937968.7269519835
1128,244Np,1873456.297233962
3068,227Fr,1763631.981663162
956,19O,1762029.0301420714
2420,78Ga,1659978.2675305663
2626,213Pb,1655523.7895354792
892,226At,1596584.7108357083
2701,69Ni,1547578.7624787283
884,119Ag,1542851.5443981346
963,226Rn,1531229.7136074237
2446,233Ac,1501421.6568685132
2984,87Se,1489210.5503567336
1644,142Pm,1468435.3557417695
1670,219Po,1458946.7866260079
1289,45Ar,1455158.902327982
973,217Po,1417209.3857560637
1190,218At,1409290.0033530085
2313,222Po,1392559.5827112335
2666,41Cl,1323146.4053651174
1688,237Pa,1266066.4570059478
3031,48K,1263199.3957193955
1026,225Fr,1238613.6749309753
484,221Fr,1185563.4943353697
1146,236Pa,1172562.8338503316
2930,186Lu,1129306.7369588797
202,89Br,1129138.4564982057
2085,238Th,1128512.9175338165
2034,81Ge,1125587.140380685
817,242U,1099785.339631491
1760,225Rn,1092772.7629342494
2631,47K,1030183.3755246125
293,62Fe,1022897.4901479123
2454,229Ra,1020381.0156098496
1983,30P,993539.3740702873
2016,13N,984312.7863152291
2780,143Ba,976617.9716189753
2897,101Nb,974784.0037303141
290,83As,939958.9443315985
1550,241Np,916345.961093847
2959,33Si,877081.3905881183
107,75Zn,854022.0179736459
1245,245Np,851319.4548933366
3161,214Bi,843911.3048835201
2927,138I,827375.7170036484
1400,62Co,826347.3844800543
1258,92Rb,803565.0811899377
2620,43Cl,803541.7961939748
1421,211Pb,783149.775689191
1870,117Pd,760742.8686745702
2803,41S,757537.8773680424
1515,185Yb,740414.4741847243
726,144Ba,716864.4166067631
374,104Mo,670573.2605863776
3109,223Fr,668083.1949249888
1447,184Yb,654199.1158161942
3174,214Pb,653294.9760794006
2547,231Ac,646582.631295844
527,72Cu,639874.8213900106
2230,95Sr,638725.1361234741
3057,81As,634314.5883415227
2697,97Y,633478.4437818427
1156,14O,629652.2315349436
813,87Br,628835.5817923167
2594,223Rn,614518.3126205101
239,93Rb,594695.6791155889
946,88Br,591410.7290223351
2220,235Th,581211.577848004
1846,173Ho,578107.5672339256
2746,185Lu,564725.1617876844
148,195Re,552500.7890243146
2935,218Tl,547053.9769704526
2188,222Fr,545346.3373718126
205,151Pr,544785.8559974069
2027,106Mo,543625.1708411279
3165,147Pr,542581.191583635
384,247Am,538234.365795532
2484,141Cs,534765.1410625732
1747,11C,516304.052185236
1005,241Pa,509211.7903783588
1630,140Xe,487149.70701451536
820,213Bi,476812.10567537334
1662,76Zn,471710.51176068635
278,184Lu,468488.82137804915
1621,140Pr,463566.41711121396
833,90Kr,458980.5515720009
219,112Rh,453603.49177342217
1126,251Cm,439511.66190991097
1945,84As,437819.7552469423
1802,158Pm,428460.85298111907
1849,253Bk,425075.6778234602
2398,157Pm,424991.92580250406
1349,132Sn,419537.6348231665
2510,77Rb,400935.7566964961
556,212Bi,390529.2956197369
2153,126Cs,388424.5560361433
149,98Nb,382666.8077894706
1145,101Zr,382333.291877583
1914,98Zr,381143.9649838738
1411,178Tm,378867.2833487202
1228,144La,375692.71867158194
2126,243U,375208.1257434923
49,77Ga,370306.3152218153
2309,156Nd,368347.0467445251
1219,139Xe,368327.78384010383
2352,236Th,364792.4486856219
2971,138Pr,346961.48815712484
936,82Ge,345042.56606351683
2226,92Tc,340950.5987528322
1276,38K,336129.28742833866
581,178Er,331272.3660257139
3138,119In,328617.55785853614
2449,220Pb,326724.30194151786
1763,82Rb,325559.0764875821
185,121Cd,324563.67765135446
1895,224Bi,323472.15700341045
741,107Mo,320261.7269261246
3157,195W,320231.4924862225
131,69Cu,315788.4240372567
2468,137I,311010.10562466935
1901,223Bi,310144.7248362383
2403,221Rn,309033.25872462615
2564,131Sn,308751.3252199578
1504,119Cd,303864.1933932662
164,117Ag,296783.03789291845
31,139I,292157.7017283332
1957,10C,292077.0467107949
2503,107Tc,291685.7159650213
3063,106Rh,291340.885390906
525,155Nd,291098.53930549807
2530,106Tc,290536.73151867883
1082,239U,288896.5175016962
2494,199Ir,283433.9622637223
2940,73Cu,281159.74727735244
2366,199Os,280006.8216536779
890,116Pd,278942.05203527154
2843,123In,275677.52793408284
2888,82As,275503.62117178563
3100,42Cl,272847.2984937988
1912,226Th,271258.6531138231
960,76Ga,266267.05091616337
2004,233Th,265503.1825585373
1977,181Tm,264314.2442698307
367,83Ge,262461.19552516326
1966,240Np,260454.08151403465
2845,143Cs,259620.044764434
520,115Pd,255585.43773757253
193,149Ce,255387.37491942378
3043,96Y,250732.92551650392
2743,35P,249969.21938706393
798,121In,247146.04951263714
113,206Au,246884.07875127887
844,23Mg,239817.0619857091
1355,156Pm,233435.08949787114
227,203Po,232143.45237054018
848,183Yb,229114.52076317556
1788,186Hf,228367.9839083582
1103,62Cu,227926.10977197182
3130,137Te,226439.28395675105
77,169Tb,226312.5940688537
2633,22Mg,223836.2685089154
2792,116In,223568.92293835772
3070,246Am,221187.80546790332
3087,89Kr,219975.10763331727
2957,79Ge,219766.63362584874
213,90Br,217181.34723646604
2254,235Pa,215050.73317700168
578,140Cs,214308.24635933936
1718,92Kr,210713.06113021667
2123,75Ga,208759.4912656359
2111,67Ni,208471.37569028017
2107,105Nb,207186.46798916077
2408,200Os,205656.98812006015
2813,145Ba,199857.87441311535
3173,122I,198844.32706117976
2062,180Re,197466.97710313599
1879,208Au,197443.0710661489
2088,78Zn,196909.83630284882
689,73Zn,196407.51530218995
2039,99Nb,195894.8683331602
2710,128Cs,194930.97082095404
967,134La,192741.37834049424
2463,27Si,190716.716370849
2583,91Kr,187597.56366778395
706,79Ga,185331.38515493972
190,227Ra,184330.86906905158
2227,207Au,179910.18200242246
2415,71Cu,178469.21281263823
3032,29P,177119.3153358497
1568,173Er,177014.6493705316
1088,135Te,176685.68935335608
1407,224Rn,176359.41238620604
1494,74Br,175935.28506176226
1168,105Mo,174712.18523918214
1978,230Ra,174343.4650409116
169,47V,173850.72522663436
780,66Cu,173147.89205663576
3124,20O,168880.52128002053
96,141Xe,165190.41240835507
2243,94Rb,165006.99330930907
1800,142Cs,164510.50898054315
1475,25Al,161569.74360505905
468,167Gd,160688.09562955596
2317,90Rb,159785.3620791522
1225,63Fe,158364.74302371842
268,251Bk,158216.13895527582
2797,74Kr,157539.23743268932
866,132Sb,157493.62066321628
2259,102Ag,157042.69407371196
1595,183Lu,155595.5293008121
1472,11Be,154908.29986792878
370,151Ce,154351.48875676637
2017,209Au,151166.17597323033
845,59Mn,150718.8058568369
1752,1n,144071.64130090264
796,77Zn,143688.31142578187
2210,49Ca,142191.90594377328
604,155Pm,141684.35481641564
1552,109Ru,141124.49409330718
359,145La,140056.83385456732
1567,43Ar,137434.46082899853
2852,21O,137432.6731721329
2328,52Ca,136650.71435593325
1852,194Re,136154.52661480097
3029,177Er,133708.47893145366
2721,71Ni,132376.41949324956
2526,165Gd,131285.61558461393
1874,167Tb,130764.97508057972
3,21Na,129205.32094386642
24,112Ru,129198.27049155967
1418,203Ir,126896.65919808007
528,185Hf,126463.86403278416
2828,16N,126243.42664289688
2009,136Te,125764.50052772909
1943,189Ta,124536.4129100511
829,237Am,124073.70623359352
2751,229At,123422.54672412397
2765,197Os,123294.49876244203
3113,172Dy,122888.33343087276
1419,150Ce,122581.83014309329
343,169Dy,115999.181882798
920,52Sc,114528.75661058456
1185,150Pr,113736.62968555547
2155,255Cf,111194.49797242259
301,49K,110170.87168890331
1579,51Ca,109969.3835813632
471,229Ac,109926.46808144574
617,116Sb,108323.85778630213
1735,84Se,108016.11466829716
1398,194W,106787.7339124371
2288,129Sn,105535.64427368851
1070,172Ho,103160.12853561257
1114,17N,101888.98730844991
3118,88Se,100620.69251868775
2798,181Yb,100615.75408903186
240,49Cr,100611.16510636991
3060,179Tm,99600.68933962972
61,136Pr,98727.3353455674
132,40S,98181.87471208166
506,94Sr,98070.46427021972
3083,207At,97356.61050043242
2979,178Re,97172.66712087087
645,65Ga,97082.41176734953
2106,82Y,95898.61336481094
2379,31S,95521.65995304352
1248,38Cl,95207.19211267245
2069,140Pm,95084.98559109357
1474,200Ir,94941.6738654546
795,123Cd,93871.13003067338
2623,72Ni,93603.3080748228
2205,45K,93581.05513744889
2853,130Sn,93291.96703758105
1003,20F,92769.78836972693
1072,205Po,92358.33763000532
1635,177Re,91973.15284284615
824,138Te,91316.27470336607
698,193W,90776.73274811197
2167,162Tm,88084.54419725631
2219,179Er,87875.589904822
1743,141Sm,86978.03709998277
2272,69As,86389.1856497797
1505,46Ar,86151.47344913168
2050,159Sm,84688.08673237074
667,61Fe,84618.0596896323
1118,153Pr,84238.95395725394
1482,118Sb,84222.5462073102
2046,99Zr,84123.76630141345
2921,21F,82284.56176341415
1302,147Ba,82112.78783247786
481,203Pt,81219.13071905677
768,100Zr,79952.22008783353
295,63Co,79947.78594281877
1631,239Pa,79784.49611452073
3071,22F,79429.59758423196
1936,109Rh,79105.10926443656
391,186Ta,78255.19476122272
1083,171Dy,77756.45616962164
904,191W,76469.32176045296
2324,77Sr,76449.96636844937
1328,88Nb,75999.36944148735
2257,141Pm,75807.13536162503
461,106Ag,74804.7405314799
2814,47Ar,74483.9095454312
135,104Tc,74256.96443320281
2924,108Sb,74015.02438305176
3039,165Eu,73590.65086094555
2683,55V,73217.54305016594
2992,187Lu,71959.9449226827
1195,113I,70345.62620385857
2615,112In,70330.33054091493
3096,137Xe,70294.55077511114
2824,51Sc,69624.30566412464
3022,245Am,69528.85732051544
196,22O,69493.70138330213
1269,58Cr,68872.86157452226
1264,50Ca,68594.72948564234
896,91Rb,68497.49359188727
2589,88Tc,68434.13745440046
1560,175Er,68379.1150245902
153,95Y,67788.14523161983
203,166Gd,67224.5115998778
1604,207Po,65845.3767291612
2601,91Ru,65823.75388327574
274,23F,65782.59554169465
1522,34Si,65122.39970431272
2627,233Fr,64855.53773062203
2807,133Sb,64471.83943281348
409,92Rh,64258.23694082961
1367,143La,63665.94677769608
2357,89Rb,63415.78230115661
692,95Pd,63351.82086467017
2899,94Pd,62472.609685860385
138,107Ru,61791.20826856246
1238,232Np,61494.49890549925
1221,224Ac,61387.86066827087
2414,15C,61111.565210282526
2602,188Hf,61012.308507377886
2315,79Rb,60957.9042527886
1216,142Ba,60931.00579431498
1607,90Ru,60542.05693063594
1391,208Hg,60366.155920732555
1799,39Cl,59790.54992835474
3075,26Si,59493.51179690835
1092,81Ga,59429.77666183435
1109,170Os,59313.349338559216
2266,125In,59127.622039348746
2738,195Pb,58896.836084983195
2360,75Rb,58857.65230338161
2571,173Dy,58794.46733840865
721,178Ir,58419.92935118029
2431,254Fm,58188.763689342515
1170,149Pr,58076.76558999599
770,169Re,57866.107583223245
2975,165W,57821.41962528923
3149,33Cl,57812.659248376534
1485,87Mo,57671.60760044314
3067,171Os,57132.118739385565
3011,228Ac,56791.18308588676
2118,70Ni,56703.804196781086
3048,96Ag,56288.46874647718
1166,135Sm,55921.19957851386
1229,122Cs,55608.07649093172
130,161Sm,55493.70810250967
2776,70As,55449.7117861197
1668,195Os,55449.33046615283
1484,139Cs,55380.66991664807
3064,109Sb,55275.645374185944
3009,81Sr,54968.93415812626
1883,159Lu,54814.27283777632
2033,36P,54749.834482404425
1804,171Re,54728.373007971
805,93Rh,54676.552826946274
253,176Ir,54459.197387614215
106,124Cs,54379.16694514152
1061,144Dy,54372.29046087967
1013,56Cr,54337.94052321605
1155,111Sn,53957.40355478055
3001,182Yb,53811.175377470136
3042,138Eu,53751.80261367132
2371,65Ge,53314.23671895283
1637,60Cu,53261.54114808004
2291,130Cs,53255.22368206866
1090,93Sr,53156.06733923747
3081,158Sm,53116.549430524035
2864,108Tc,52926.09249645573
1523,250Bk,52905.95803281736
815,145Dy,52799.660256138035
2119,187Hf,52794.46907854284
1866,24Al,52788.050056183754
2596,76Sr,52779.336021523064
822,51Mn,52358.44361334386
1931,34P,52220.724323819515
516,103Mo,51902.864479772674
1841,207Hg,51897.4428172042
1361,103Tc,51790.566504773
2865,154Tm,51765.1066606162
2579,30Al,51641.014631664984
46,116I,51575.82018989607
2535,175Ho,51512.96107653199
163,222Ac,51425.20803501553
1997,102Nb,51280.020564959465
399,157Lu,51228.105281697666
761,86Mo,51200.40011129183
711,133Pm,50828.64256851864
2926,101Mo,50756.31696871058
1639,117Cs,50721.90173644542
1713,114Xe,50295.47821342306
303,212Pb,50184.31290819813
2273,111Rh,50138.946734908575
2019,18F,50131.905182786635
1526,164Ta,49790.091254469095
1831,77Kr,49612.57652770089
2771,142Xe,49471.53373699075
1801,81Se,49378.12345637872
3160,53Sc,49288.657313074786
459,109Te,49258.82256587663
2078,119Ba,49197.16553404544
2674,164W,49035.464176354486
2561,143Tb,48993.16387451159
3121,57Cr,48899.40961246994
2741,209Pb,48651.39707263732
1074,67Ge,48646.60945196201
2967,159Hf,48516.68585032096
1924,136I,48465.052875418885
1432,122La,48338.55168068031
1898,75Cu,48280.92710652702
402,121La,48101.582915303254
1032,153Nd,48023.30441398433
1950,152Er,47954.08414609323
533,126In,47738.112300237044
530,124Ce,47301.854923614126
1338,110Sb,47288.42786325577
411,107Sb,47152.21585363963
2825,58Cu,47072.17142075084
1678,141Gd,47016.559319915155
2148,71Zn,46965.867806182316
2149,63Zn,46922.993866508616
1506,194Tl,46821.58721843404
2416,158Lu,46792.06037162496
1110,129Nd,46473.29841971986
849,208Tl,46451.705413073614
2651,99Cd,46273.55799233696
654,194Ta,46121.004723684935
842,174Ir,46090.44330244664
115,131Pm,45988.136235626225
2736,176Pt,45685.09676597949
1987,161Hf,45593.96452934309
214,23Ne,45579.60276483912
2456,125Ce,45463.364908926764
2159,163Ta,45441.75697707864
317,84Nb,45423.43310086419
2708,173Ir,45369.15071377379
1147,140Gd,45336.12633871461
658,149Tb,45332.279229289496
54,110Ag,45200.21840049636
2685,197Ir,45151.99892352184
2915,179Au,45111.14766222857
872,157Ho,45051.959330280915
691,120I,45036.56364738333
3015,116Ag,44844.685710064536
3142,111Te,44752.69243437254
2502,132Pm,44682.12735984784
2163,138Xe,44630.07720527104
1308,128Nd,44575.15394224396
1435,151Nd,44552.23249677147
1314,206Hg,44517.4141306747
2035,135Sb,44507.73090788618
254,155Tm,44334.73326126268
1647,175Ir,44298.34754035053
803,37P,44255.716346282206
433,180Au,43923.77229940655
22,166W,43627.60767331575
2114,203Au,43608.30701234586
840,134Sm,43379.274385832614
319,137Eu,43144.72772381078
542,201Os,43047.054235393996
2176,177Pt,43044.7468321834
2187,72Kr,42891.398880541725
3074,160Hf,42591.116025833544
529,130Nd,42565.9296496747
2574,139Gd,42548.888361537494
683,139Eu,42325.222882830436
1115,70Se,42306.069816871415
1756,168Re,42223.98828267964
2044,167W,42221.768033384054
1292,53Ti,42190.39524260525
2750,118Cs,42019.15697985001
2498,201Ir,41978.79945636515
1335,79Y,41807.615132630825
3078,145Gd,41804.77926182378
1019,172Ir,41621.79581147715
1577,172Os,41512.99184894344
1279,82Zr,41501.98602637786
582,143Dy,41349.52533746968
953,76Rb,40947.24966092533
1861,127Pr,40855.96602538185
390,165Ta,40765.835655241215
1341,221Ra,40742.381296771935
230,110Te,40539.499044542164
69,93Kr,40497.702577030825
703,277Bh,40419.00134881679
2822,83Se,40294.397869789515
786,138Gd,40273.100249145034
1283,118Ag,40246.364161341495
271,134Pm,39912.59317162067
2911,147Ho,39860.91850852852
2575,98Cd,39759.28864887222
1512,83Nb,39757.12312882155
2015,181Lu,39465.64794273964
2171,100In,39420.513957076284
1618,89Tc,39389.03444274619
2101,97Ag,39354.5433962861
1829,146La,39353.9989330257
2425,115Xe,39298.511445691
95,71Br,39128.94376725689
1028,150Er,39092.05440032281
2982,90Tc,39074.08782030995
2954,152Tm,38907.39544645841
365,178Pt,38872.672200162255
2244,86Se,38770.24598938632
1683,145Tb,38556.6717269411
1457,166Ta,38482.60665699174
2057,101Tc,38374.44834462553
511,173Os,38229.116440059224
2263,157Sm,38134.475965757985
1342,121Ba,38064.68907592564
2225,131Nd,37979.31383626112
453,179Pt,37896.93456398213
2332,112I,37802.974388170136
415,130Pr,37795.51500752027
1086,162Ta,37713.24567549968
68,124La,37442.390575055964
2105,112Sb,37255.368938700805
2223,184Au,37190.1378781899
2053,148Er,37160.09034122667
172,123La,37111.12360079529
368,145Ce,37086.474332872196
1256,35Ar,37045.592315900154
381,188Ta,36981.81490323487
2493,163Eu,36772.60874060389
1933,149Ho,36741.560713533334
969,166Tb,36603.39273836485
175,181Au,36553.24890491678
8,141Ba,36304.245842901255
1645,177Tm,35978.38493072871
2847,278Mt,35934.31585405047
886,64Ge,35870.82665748296
3170,63Ga,35780.09617788821
3020,128Pr,35692.32279833515
168,142Eu,35589.79542143176
495,172Ta,35302.39064508765
2848,129Pr,35264.90458430081
2581,169Os,35112.95594025075
2717,167Re,34898.90824454427
682,83Zr,34875.269895520825
2704,68Ni,34820.66938294516
2056,168Tb,34617.82979263792
878,151Ho,34592.78811233151
1634,155Pr,34586.96565003042
1139,207Tl,34557.16879473787
2638,182Au,34524.82660088477
305,171Ho,34524.35669536991
2928,143Gd,34364.8712837927
2682,151Er,34295.96286873678
792,151Tm,34265.94189001522
340,141Eu,34244.969625284444
197,153Yb,34099.00925523431
715,149Er,33852.5679928143
3040,127Ce,33811.044236088674
1376,249Am,33802.15209016809
902,167Yb,33721.59538120406
1963,93Ru,33706.053263118425
1316,153Er,33657.58897442318
3004,211Ra,33481.278162004804
2859,280Mt,33473.652870025224
1984,126La,33014.303923378655
1702,85Nb,32989.22456525284
2659,212Ra,32903.85907388614
2,272Bh,32872.3518872906
2985,178Au,32747.4742528618
943,118Ba,32707.93285798204
1792,135Pm,32490.172846710822
2024,160Lu,32489.86073812171
1322,120Ba,32405.899912318047
2402,177Ir,32377.138443877804
1703,99Y,32304.25156217594
1054,156Yb,32277.862044651592
1627,110Ru,32253.91329183433
1495,101In,32195.58066033602
1814,25Na,32084.718214919536
514,105Sn,32024.78581541676
1095,157Yb,31933.993603527102
1014,141Tb,31918.809443796625
1207,119Cs,31836.73156177854
898,122Cd,31643.080421688966
2393,184Tl,31591.435038750864
1749,165Tb,31484.072729861415
595,126Pr,31474.526386312784
1959,186Tl,31443.306667784385
2001,164Eu,31302.56772207229
557,161Ta,31266.448092618015
53,136Eu,31121.414509908333
427,183Hg,31068.874823533544
2775,243Pu,30865.130873297818
342,162Hf,30758.26420154768
1261,171Ir,30692.814888137324
386,190Ta,30611.040086608595
2759,259Lr,30556.915224865086
1461,182Hg,30553.520412641228
673,199At,30458.337165035617
2520,111Sb,30417.72759420248
746,144Pr,30365.25517718458
2054,115Sb,30282.269405175037
2282,186Pb,30228.916565127256
787,65Co,30212.999945276046
1722,113Rh,30210.918809988856
1707,196Po,30206.193426775502
1673,201Rn,30156.122619735717
483,152Pr,30137.139578712384
2038,161Eu,30078.718008184438
1137,61Zn,30076.44923707995
2900,163Hf,29954.193096530063
630,94Rh,29915.860654254844
950,146Dy,29907.020894894464
1810,85Se,29714.924903691535
339,168Gd,29504.123631452898
3054,265Sg,29435.841187768692
1463,113Xe,29379.31420548341
718,80Ge,29205.433245295346
361,67As,29069.496221049852
2299,146Ho,29060.73737574713
1007,211At,28910.191385426173
1290,80Y,28852.381416703876
734,202Rn,28622.22655838464
187,200Bi,28366.87550444127
935,69Zn,28363.907487355416
615,277Mt,28335.24625930494
121,172Re,28334.81012169986
1442,86Nb,28328.694521793142
745,195Po,28326.957255762965
1927,272Hs,28106.418290933267
2252,165Hf,28072.087599303544
1596,169Ho,28025.55331164573
2136,68Ga,27987.571941427705
1395,105Tc,27984.032504395076
3167,214Ac,27975.485059842344
668,191Bi,27913.561007565186
975,104Nb,27810.08318943965
1929,24Ne,27795.50376797829
35,116Xe,27662.077475345657
2363,98Ag,27485.816407091508
2554,126Ce,27461.20911365794
2008,290Nh,27450.30475945536
736,72Br,27437.192444553843
1625,202Ir,27385.919727371085
716,198At,27359.289409337427
2047,70Ga,27264.84235402963
1837,174Ho,27155.80407015133
2121,104Sn,27086.312603717157
1426,133Sn,27076.27186086997
255,133Sm,26986.37277961604
1108,139Nd,26845.30713425508
103,174Os,26820.943257667688
26,137Sm,26820.297593881696
2509,131Sb,26760.549467745703
1680,136Sm,26650.354871110012
119,209Ra,26621.227758707093
2191,99In,26612.84715009462
1989,240U,26501.176873805038
2786,193Re,26438.458071831486
2206,100Cd,26409.462730192907
337,164Tm,26401.558116089738
3162,133Nd,26377.470960508894
861,144Eu,26360.556838117278
2728,38S,26310.69403167112
2754,117Xe,26301.35055807886
978,123Ce,26273.86226735268
2274,291Fl,26258.01463813742
1714,88Rb,26187.928324207423
621,187Pb,26182.346259678754
1403,288Cn,26058.75827716926
1682,286Rg,25940.85576054932
1892,196W,25892.391361289774
1961,195Tl,25883.180937121033
1037,120Cs,25869.94735720435
2823,102In,25770.33331945169
1782,279Mt,25726.8022150966
3097,111I,25710.712793824852
1862,213Fr,25660.808342766686
3023,258Lr,25513.31953769033
330,168W,25488.286379741323
324,132Sm,25481.2479613103
1542,206Tl,25281.824569807006
513,181Hg,25174.347229848616
1387,44Sc,25168.813642933183
1877,150Tm,25168.660189555467
2881,142Gd,25154.11598697665
554,64Ga,25050.845842966584
1148,41Ar,24807.593483172557
1131,54Ti,24586.80646557197
1692,161Lu,24568.0107515991
2715,184Hg,24559.259570415023
723,260Fm,24366.33384021506
856,81Zr,24224.088310954103
1954,205Fr,24145.179656283253
100,210Ra,24025.176569715648
1981,160Sm,23989.064858421247
1655,111Ru,23970.243302631352
48,113Te,23954.059033133733
1456,207Fr,23881.896964595253
2577,169W,23852.0715742231
860,234Pa,23646.303010387368
3018,281Ds,23630.795359773518
1315,125La,23568.937302977898
2190,130Pm,23474.690522428602
1956,242Am,23473.66738122907
846,162Lu,23428.296262725937
2753,85As,23137.318494829266
2634,167Ta,23100.797784687667
1599,181Pt,23079.764622101902
408,185Tl,23024.04673293358
2470,115I,22968.530811429937
2757,80Zr,22916.146479567407
882,89Nb,22825.295441395145
1492,102Zr,22822.43090951221
2192,257Lr,22672.49657056785
383,125Pr,22583.30909067303
3082,131Pr,22582.22553901252
1855,132Pr,22503.41857135899
2474,180Pt,22359.96830060095
1667,158Hf,22272.693209406232
992,125Cs,22091.74749070597
88,183Tl,22081.300313619307
2578,150Ho,22049.319108903255
1711,59Cu,22047.890895254575
2555,270Hs,21800.22908611838
2549,185Pb,21735.660201693714
288,58Mn,21697.838026358888
1295,60Zn,21696.23786228615
2168,79As,21677.998788427496
1010,179Ir,21606.18550999883
874,52Ti,21342.57395565699
279,261Db,21295.946667003656
899,266Bh,21182.730039508555
606,190Bi,21163.669143754403
1863,271Hs,21157.59909932044
821,264No,21020.508455697058
355,180Tm,20896.610116814376
564,114I,20571.079837929698
2165,159Yb,20567.13378112179
195,267Bh,20530.060530907496
83,188Pb,20485.076973511976
2369,183Au,20471.33130270851
1331,80As,20400.411460666364
797,176Er,20388.276552921336
3139,78Ge,20307.832670571064
2256,134Te,20307.266781672966
727,156Tm,20219.810862977978
744,147Tb,20131.752045481902
1602,182Lu,20041.87493553455
443,96Pd,20019.655804654263
2501,87Kr,19993.74267760864
1016,164Ho,19939.526903023794
977,167Hf,19806.082903534418
2572,180Ir,19665.476753277042
2758,103Sn,19616.118597303815
221,147Dy,19615.209561698866
15,292Mc,19548.623602351796
843,148Ho,19517.783060580896
2838,237Np,19455.78484184447
1057,155Ho,19411.38906129015
2611,136Pm,19397.503356856058
211,257No,19358.900300872236
2531,100Ag,19326.535027027974
571,112Xe,19316.183541926046
1771,80Ga,19130.153371497538
1388,117I,19128.262101844222
1348,127In,19099.977597428875
1820,163W,19088.69206660786
392,99Ag,19066.62524889157
17,120La,19053.84448549447
2458,102Tc,19012.87934414378
3006,101Cd,18996.778986630932
895,178Ta,18993.489060351138
2910,280Rg,18915.83599201317
1002,203Bi,18909.28247073353
1994,153Ho,18900.452951147312
1605,104Zr,18878.500943748826
776,166Lu,18860.619992157688
921,185Hg,18852.81252578397
1436,158Yb,18812.99477938642
1375,146Ba,18785.41354440382
864,28Mg,18763.898508267685
23,166Re,18717.908368897657
1184,64Fe,18580.99948158117
105,256No,18567.47820497129
158,108Te,18552.440961663502
1676,147Er,18545.61820628443
1753,164Hf,18545.484455011327
1503,244Am,18451.898786664504
1534,204Pt,18437.2900787477
1161,121Xe,18333.773495243604
3073,269Hs,18308.433755983096
2995,145Ho,18262.00954103654
1060,263Db,18145.30630921394
1925,142Sm,17941.43991471586
1469,157Nd,17931.480507882745
1982,69Se,17802.1812585378
2664,175Os,17748.19018408642
2727,177W,17614.932149378765
2970,137Pm,17590.423763269257
2353,167Dy,17505.783903726297
1041,81Y,17497.534243557242
2875,132Nd,17419.126557062413
1282,112Te,17320.60960925659
1285,197Po,17287.422626229083
