,N,Z,A,Elt.,Orig.,Mass excess (keV),Mass excess (uncertainty),Binding energy per nucleon (keV),Binding energy per nucleon (uncertainty),Beta-decay Type,Beta-decay energy (keV),Beta-decay energy (uncertainty),Atomic mass (μu),Atomic mass (uncertainty)
1724,78,58.0,136.0,Ce,NA,-86508.55,0.324,8373.7624,0.0024,B-,-5168.129,11.4561,135.907129256,0.348
1725,77,59.0,136.0,Pr,NA,-81340.421,11.455,8330.0089,0.0842,B-,-2141.1234,16.4578,135.91267747,12.296
1726,76,60.0,136.0,Nd,x,-79199.297,11.817,8308.5127,0.0869,B-,-8029.3747,70.0764,135.914976061,12.686
1727,75,61.0,136.0,Pm,x,-71169.923,69.073,8243.7207,0.5079,B-,-4359.0237,70.1942,135.923595949,74.152
1728,74,62.0,136.0,Sm,x,-66810.899,12.497,8205.9165,0.0919,B-,-10567.0,196#,135.928275553,13.416
1729,73,63.0,136.0,Eu,x,-56244#,196#,8122#,1#,B-,-7154.0,357#,135.93962,210#
1730,72,64.0,136.0,Gd,x,-49090#,298#,8064#,2#,B-,-13190.0,582#,135.9473,320#
1731,71,65.0,136.0,Tb,x,-35900#,500#,7961#,4#,B-,*,NA,135.96146,537#
1732,88,49.0,137.0,In,x,-35830#,400#,8053#,3#,B-,14320.0,500#,136.961535,429#
1733,87,50.0,137.0,Sn,x,-50150#,300#,8152#,2#,B-,9911.0,304#,136.946162,322#
1734,86,51.0,137.0,Sb,x,-60060.392,52.164,8218.4764,0.3808,B-,9243.3698,52.2059,136.935522519,56.000
1735,85,52.0,137.0,Te,NA,-69303.762,2.100,8280.2357,0.0153,B-,7052.5063,8.6426,136.925599354,2.254
1736,84,53.0,137.0,I,p-2n,-76356.268,8.383,8326.0033,0.0612,B-,6027.1455,8.3841,136.918028178,9.000
1737,83,54.0,137.0,Xe,-n,-82383.414,0.104,8364.2865,0.0008,B-,4162.3582,0.3193,136.911557771,0.111
1738,82,55.0,137.0,Cs,+,-86545.772,0.302,8388.9581,0.0022,B-,1175.6285,0.1723,136.907089296,0.324
1739,81,56.0,137.0,Ba,NA,-87721.401,0.248,8391.8288,0.0018,B-,-580.5356,1.6231,136.905827207,0.266
1740,80,57.0,137.0,La,+,-87140.865,1.640,8381.8807,0.0120,B-,-1222.1,1.6000,136.906450438,1.760
1741,79,58.0,137.0,Ce,NA,-85918.765,0.360,8367.2497,0.0026,B-,-2716.9515,8.1328,136.907762416,0.386
1742,78,59.0,137.0,Pr,NA,-83201.814,8.135,8341.7074,0.0594,B-,-3617.8447,14.2706,136.910679183,8.733
1743,77,60.0,137.0,Nd,NA,-79583.969,11.725,8309.5892,0.0856,B-,-5511.1108,17.5366,136.914563099,12.586
1744,76,61.0,137.0,Pm,x,-74072.858,13.041,8263.6516,0.0952,B-,-6081.2029,31.4460,136.920479519,14.000
1745,75,62.0,137.0,Sm,NA,-67991.655,28.614,8213.5527,0.2089,B-,-7845.7518,28.9474,136.927007959,30.718
1746,74,63.0,137.0,Eu,x,-60145.904,4.378,8150.5738,0.0320,B-,-8932.0,298#,136.935430719,4.700
1747,73,64.0,137.0,Gd,x,-51214#,298#,8080#,2#,B-,-10246.0,499#,136.94502,320#
1748,72,65.0,137.0,Tb,x,-40967#,401#,7999#,3#,B-,*,NA,136.95602,430#
1749,88,50.0,138.0,Sn,x,-45510#,400#,8118#,3#,B-,9140.0,500#,137.951143,429#
1750,87,51.0,138.0,Sb,x,-54650#,300#,8178#,2#,B-,11046.0,300#,137.941331,322#
1751,86,52.0,138.0,Te,NA,-65695.995,3.787,8252.5786,0.0274,B-,6283.9149,7.0625,137.929472452,4.065
1752,85,53.0,138.0,I,x,-71979.910,5.962,8292.4450,0.0432,B-,7992.3346,6.5881,137.922726392,6.400
1753,84,54.0,138.0,Xe,NA,-79972.244,2.804,8344.6913,0.0203,B-,2914.7839,9.5780,137.914146268,3.010
1754,83,55.0,138.0,Cs,NA,-82887.028,9.158,8360.1437,0.0664,B-,5374.7776,9.1584,137.911017119,9.831
1755,82,56.0,138.0,Ba,NA,-88261.806,0.249,8393.4222,0.0018,B-,-1748.3977,0.3384,137.905247059,0.267
1756,81,57.0,138.0,La,NA,-86513.408,0.416,8375.0835,0.0030,B-,1052.4585,0.4018,137.907124041,0.446
1757,80,58.0,138.0,Ce,NA,-87565.867,0.499,8377.0408,0.0036,B-,-4437.0,10.0000,137.90599418,0.536
1758,79,59.0,138.0,Pr,-,-83128.867,10.012,8339.2195,0.0726,B-,-1111.6847,15.3256,137.910757495,10.748
1759,78,60.0,138.0,Nd,NA,-82017.182,11.603,8325.4946,0.0841,B-,-7102.8119,16.0995,137.911950938,12.456
1760,77,61.0,138.0,Pm,NA,-74914.37,11.603,8268.3558,0.0841,B-,-3416.5976,16.5613,137.919576119,12.456
1761,76,62.0,138.0,Sm,x,-71497.772,11.817,8237.9286,0.0856,B-,-9748.0968,30.3408,137.923243988,12.686
1762,75,63.0,138.0,Eu,x,-61749.676,27.945,8161.6211,0.2025,B-,-6090.0,202#,137.933709,30.000
1763,74,64.0,138.0,Gd,x,-55660#,200#,8112#,1#,B-,-12059.0,361#,137.940247,215#
1764,73,65.0,138.0,Tb,x,-43600#,300#,8019#,2#,B-,-8669.0,586#,137.953193,322#
1765,72,66.0,138.0,Dy,x,-34931#,503#,7950#,4#,B-,*,NA,137.9625,540#
1766,89,50.0,139.0,Sn,x,-39310#,400#,8073#,3#,B-,10740.0,565#,138.957799,429#
1767,88,51.0,139.0,Sb,x,-50050#,400#,8144#,3#,B-,10155.0,400#,138.946269,429#
1768,87,52.0,139.0,Te,x,-60205.080,3.540,8211.7716,0.0255,B-,8265.8835,5.3454,138.935367191,3.800
1769,86,53.0,139.0,I,x,-68470.964,4.005,8265.6100,0.0288,B-,7173.6224,4.5424,138.9264934,4.300
1770,85,54.0,139.0,Xe,x,-75644.586,2.142,8311.5904,0.0154,B-,5056.5023,3.7960,138.9187922,2.300
1771,84,55.0,139.0,Cs,+,-80701.088,3.134,8342.3397,0.0225,B-,4212.8293,3.1235,138.913363822,3.364
1772,83,56.0,139.0,Ba,-n,-84913.918,0.253,8367.0194,0.0018,B-,2308.4632,0.6571,138.908841164,0.271
1773,82,57.0,139.0,La,NA,-87222.381,0.607,8377.9987,0.0044,B-,-264.6396,1.9989,138.906362927,0.651
1774,81,58.0,139.0,Ce,NA,-86957.741,2.089,8370.4664,0.0150,B-,-2129.089,2.9962,138.906647029,2.242
1775,80,59.0,139.0,Pr,NA,-84828.652,3.649,8349.5208,0.0263,B-,-2811.7226,27.6166,138.9089327,3.917
1776,79,60.0,139.0,Nd,NA,-82016.93,27.521,8323.6642,0.1980,B-,-4515.9014,25.8700,138.911951208,29.545
1777,78,61.0,139.0,Pm,NA,-77501.028,13.588,8285.5473,0.0978,B-,-5120.7993,17.4098,138.916799228,14.587
1778,77,62.0,139.0,Sm,x,-72380.229,10.884,8243.0786,0.0783,B-,-6982.1777,17.0705,138.922296631,11.684
1779,76,63.0,139.0,Eu,x,-65398.051,13.151,8187.2187,0.0946,B-,-7767.0,196#,138.929792307,14.117
1780,75,64.0,139.0,Gd,x,-57632#,196#,8126#,1#,B-,-9501.0,357#,138.93813,210#
1781,74,65.0,139.0,Tb,x,-48130#,298#,8052#,2#,B-,-10430.0,582#,138.94833,320#
1782,73,66.0,139.0,Dy,x,-37700#,500#,7971#,4#,B-,*,NA,138.959527,537#
1783,90,50.0,140.0,Sn,x,-34490#,300#,8038#,2#,B-,9900.0,671#,139.962973,322#
1784,89,51.0,140.0,Sb,x,-44390#,600#,8103#,4#,B-,11977.0,600#,139.952345,644#
1785,88,52.0,140.0,Te,NA,-56367.449,14.377,8183.3567,0.1027,B-,7238.7734,18.7976,139.939487057,15.434
1786,87,53.0,140.0,I,x,-63606.223,12.109,8229.4740,0.0865,B-,9380.2388,12.3313,139.931715914,13.000
1787,86,54.0,140.0,Xe,x,-72986.461,2.329,8290.8875,0.0166,B-,4063.2768,8.5232,139.921645814,2.500
1788,85,55.0,140.0,Cs,NA,-77049.738,8.199,8314.3227,0.0586,B-,6218.1669,9.8671,139.917283707,8.801
1789,84,56.0,140.0,Ba,NA,-83267.905,7.900,8353.1500,0.0564,B-,1044.1542,7.9051,139.910608231,8.480
1790,83,57.0,140.0,La,NA,-84312.059,0.607,8355.0201,0.0043,B-,3762.1676,1.3364,139.909487285,0.651
1791,82,58.0,140.0,Ce,NA,-88074.227,1.313,8376.3045,0.0094,B-,-3388.0,6.0000,139.905448433,1.409
1792,81,59.0,140.0,Pr,-,-84686.227,6.142,8346.5163,0.0439,B-,-428.9806,6.9536,139.9090856,6.593
1793,80,60.0,140.0,Nd,x,-84257.246,3.260,8337.8640,0.0233,B-,-6045.2,24.0000,139.90954613,3.500
1794,79,61.0,140.0,Pm,-,-78212.046,24.220,8289.0958,0.1730,B-,-2756.101,27.2546,139.916035918,26.001
1795,78,62.0,140.0,Sm,x,-75455.945,12.497,8263.8211,0.0893,B-,-8470.0,50.0000,139.918994714,13.416
1796,77,63.0,140.0,Eu,-,-66985.945,51.538,8197.7330,0.3681,B-,-5203.6675,58.6268,139.928087633,55.328
1797,76,64.0,140.0,Gd,x,-61782.278,27.945,8154.9757,0.1996,B-,-11300.0,800.0000,139.933674,30.000
1798,75,65.0,140.0,Tb,-,-50482.278,800.488,8068.6732,5.7178,B-,-7652.0,895#,139.945805048,859.359
1799,74,66.0,140.0,Dy,x,-42830#,401#,8008#,3#,B-,-13513.0,641#,139.95402,430#
1800,73,67.0,140.0,Ho,-p,-29317#,500#,7906#,4#,B-,*,NA,139.968526,537#
1801,90,51.0,141.0,Sb,x,-39540#,500#,8069#,4#,B-,11129.0,640#,140.957552,537#
1802,89,52.0,141.0,Te,x,-50670#,400#,8142#,3#,B-,9257.0,400#,140.945604,429#
1803,88,53.0,141.0,I,x,-59926.666,15.835,8202.2562,0.1123,B-,8270.643,16.0965,140.935666081,17.000
1804,87,54.0,141.0,Xe,x,-68197.309,2.888,8255.3647,0.0205,B-,6280.0423,9.6378,140.926787181,3.100
1805,86,55.0,141.0,Cs,NA,-74477.351,9.195,8294.3554,0.0652,B-,5255.141,9.6174,140.920045279,9.871
1806,85,56.0,141.0,Ba,NA,-79732.492,5.318,8326.0774,0.0377,B-,3197.3515,6.5510,140.914403653,5.709
1807,84,57.0,141.0,La,NA,-82929.844,4.127,8343.2050,0.0293,B-,2501.2141,3.9279,140.910971155,4.430
1808,83,58.0,141.0,Ce,NA,-85431.058,1.315,8355.3956,0.0093,B-,583.4758,1.1784,140.908285991,1.411
1809,82,59.0,141.0,Pr,NA,-86014.533,1.498,8353.9852,0.0106,B-,-1823.0137,2.8090,140.907659604,1.607
1810,81,60.0,141.0,Nd,-,-84191.520,3.183,8335.5074,0.0226,B-,-3668.5879,14.3304,140.90961669,3.417
1811,80,61.0,141.0,Pm,x,-80522.932,13.972,8303.9405,0.0991,B-,-4588.9724,16.3730,140.913555081,15.000
1812,79,62.0,141.0,Sm,NA,-75933.959,8.535,8265.8460,0.0605,B-,-6008.3127,14.2829,140.918481545,9.162
1813,78,63.0,141.0,Eu,NA,-69925.647,12.639,8217.6853,0.0896,B-,-6701.4161,23.4562,140.924931734,13.568
1814,77,64.0,141.0,Gd,x,-63224.231,19.760,8164.6090,0.1401,B-,-8683.388,107.0975,140.932126,21.213
1815,76,65.0,141.0,Tb,x,-54540.843,105.259,8097.4761,0.7465,B-,-9158.0,316#,140.941448,113.000
1816,75,66.0,141.0,Dy,x,-45382#,298#,8027#,2#,B-,-11018.0,499#,140.95128,320#
1817,74,67.0,141.0,Ho,-p,-34364#,401#,7943#,3#,B-,*,NA,140.963108,430#
1818,91,51.0,142.0,Sb,x,-33610#,300#,8027#,2#,B-,12939.0,583#,141.963918,322#
1819,90,52.0,142.0,Te,x,-46550#,500#,8113#,4#,B-,8253.0,500#,141.950027,537#
1820,89,53.0,142.0,I,x,-54802.969,4.937,8165.2517,0.0348,B-,10426.6792,5.6276,141.941166595,5.300
1821,88,54.0,142.0,Xe,x,-65229.648,2.701,8233.1695,0.0190,B-,5284.9078,7.5655,141.929973095,2.900
1822,87,55.0,142.0,Cs,NA,-70514.556,7.067,8264.8777,0.0498,B-,7327.7007,8.3627,141.924299514,7.586
1823,86,56.0,142.0,Ba,NA,-77842.257,5.920,8310.9718,0.0417,B-,2181.6932,8.3754,141.916432904,6.355
1824,85,57.0,142.0,La,NA,-80023.95,6.286,8320.8263,0.0443,B-,4508.9455,5.8446,141.91409076,6.748
1825,84,58.0,142.0,Ce,NA,-84532.896,2.443,8347.0700,0.0172,B-,-746.5288,2.4868,141.909250208,2.623
1826,83,59.0,142.0,Pr,NA,-83786.367,1.498,8336.3032,0.0106,B-,2163.6885,1.3656,141.91005164,1.607
1827,82,60.0,142.0,Nd,NA,-85950.055,1.256,8346.0310,0.0088,B-,-4808.5196,23.6216,141.907728824,1.348
1828,81,61.0,142.0,Pm,NA,-81141.536,23.596,8306.6587,0.1662,B-,-2159.6062,23.6524,141.912890982,25.330
1829,80,62.0,142.0,Sm,NA,-78981.93,1.866,8285.9407,0.0131,B-,-7673.0,30.0000,141.915209415,2.002
1830,79,63.0,142.0,Eu,-,-71308.930,30.058,8226.3960,0.2117,B-,-4349.4074,41.0414,141.923446719,32.268
1831,78,64.0,142.0,Gd,x,-66959.522,27.945,8190.2569,0.1968,B-,-10400.0,700.0000,141.928116,30.000
1832,77,65.0,142.0,Tb,-,-56559.522,700.558,8111.5080,4.9335,B-,-6440.0,200#,141.939280858,752.079
1833,76,66.0,142.0,Dy,-,-50120#,729#,8061#,5#,B-,-12869.0,831#,141.946194,782#
1834,75,67.0,142.0,Ho,x,-37250#,401#,7965#,3#,B-,-9321.0,641#,141.96001,430#
1835,74,68.0,142.0,Er,x,-27930#,500#,7893#,4#,B-,*,NA,141.970016,537#
1836,91,52.0,143.0,Te,x,-40530#,500#,8070#,3#,B-,10259.0,539#,142.956489,537#
1837,90,53.0,143.0,I,x,-50790#,200#,8137#,1#,B-,9413.0,200#,142.945475,215#
1838,89,54.0,143.0,Xe,x,-60202.882,4.657,8196.8855,0.0326,B-,7472.6365,8.8908,142.93536955,5.000
1839,88,55.0,143.0,Cs,NA,-67675.519,7.573,8243.6707,0.0530,B-,6261.6865,9.7303,142.927347346,8.130
1840,87,56.0,143.0,Ba,NA,-73937.205,6.756,8281.9878,0.0472,B-,4234.2623,9.9682,142.920625149,7.253
1841,86,57.0,143.0,La,NA,-78171.467,7.329,8306.1271,0.0513,B-,3434.9108,7.5812,142.916079482,7.868
1842,85,58.0,143.0,Ce,NA,-81606.378,2.442,8324.6765,0.0171,B-,1461.8214,1.8649,142.912391953,2.621
1843,84,59.0,143.0,Pr,NA,-83068.2,1.816,8329.4280,0.0127,B-,934.1107,1.3673,142.910822624,1.949
1844,83,60.0,143.0,Nd,NA,-84002.31,1.255,8330.4893,0.0088,B-,-1041.6463,2.6830,142.909819815,1.347
1845,82,61.0,143.0,Pm,NA,-82960.664,2.944,8317.7341,0.0206,B-,-3443.5291,3.5604,142.910938068,3.160
1846,81,62.0,143.0,Sm,NA,-79517.135,2.750,8288.1825,0.0192,B-,-5275.824,11.3245,142.914634848,2.951
1847,80,63.0,143.0,Eu,x,-74241.311,10.986,8245.8177,0.0768,B-,-6010.0,200.0000,142.920298678,11.793
1848,79,64.0,143.0,Gd,-,-68231.311,200.301,8198.3188,1.4007,B-,-7812.1185,206.7497,142.926750678,215.032
1849,78,65.0,143.0,Tb,x,-60419.192,51.232,8138.2176,0.3583,B-,-8250.2433,52.8659,142.935137332,55.000
1850,77,66.0,143.0,Dy,x,-52168.949,13.041,8075.0527,0.0912,B-,-10121.0,298#,142.943994332,14.000
1851,76,67.0,143.0,Ho,x,-42048#,298#,7999#,2#,B-,-10887.0,499#,142.95486,320#
1852,75,68.0,143.0,Er,x,-31160#,400#,7917#,3#,B-,*,NA,142.966548,429#
1853,92,52.0,144.0,Te,x,-36220#,300#,8040#,2#,B-,9110.0,500#,143.961116,322#
1854,91,53.0,144.0,I,x,-45330#,400#,8098#,3#,B-,11542.0,400#,143.951336,429#
1855,90,54.0,144.0,Xe,x,-56872.301,5.310,8172.8845,0.0369,B-,6399.0606,20.8203,143.938945076,5.700
1856,89,55.0,144.0,Cs,NA,-63271.362,20.132,8211.8894,0.1398,B-,8495.7679,20.4163,143.932075402,21.612
1857,88,56.0,144.0,Ba,NA,-71767.13,7.136,8265.4549,0.0496,B-,3082.53,14.7744,143.922954821,7.661
1858,87,57.0,144.0,La,x,-74849.660,12.937,8281.4283,0.0898,B-,5582.2823,13.2432,143.919645589,13.888
1859,86,58.0,144.0,Ce,+,-80431.942,2.833,8314.7612,0.0197,B-,318.6462,0.8321,143.913652763,3.041
1860,85,59.0,144.0,Pr,+,-80750.588,2.708,8311.5411,0.0188,B-,2997.44,2.4000,143.913310682,2.907
1861,84,60.0,144.0,Nd,NA,-83748.028,1.255,8326.9237,0.0087,B-,-2331.9117,2.6464,143.910092798,1.346
1862,83,61.0,144.0,Pm,NA,-81416.116,2.912,8305.2969,0.0202,B-,549.5096,2.6679,143.912596208,3.126
1863,82,62.0,144.0,Sm,NA,-81965.626,1.459,8303.6800,0.0101,B-,-6346.4515,10.8092,143.912006285,1.566
1864,81,63.0,144.0,Eu,NA,-75619.175,10.787,8254.1744,0.0749,B-,-3859.6633,29.9546,143.918819481,11.580
1865,80,64.0,144.0,Gd,x,-71759.511,27.945,8221.9382,0.1941,B-,-9391.3235,39.5199,143.922963,30.000
1866,79,65.0,144.0,Tb,x,-62368.188,27.945,8151.2877,0.1941,B-,-5798.0965,28.8506,143.933045,30.000
1867,78,66.0,144.0,Dy,x,-56570.091,7.173,8105.5902,0.0498,B-,-11960.5706,11.1039,143.939269512,7.700
1868,77,67.0,144.0,Ho,x,-44609.521,8.477,8017.0977,0.0589,B-,-8002.0,196#,143.952109712,9.100
1869,76,68.0,144.0,Er,x,-36608#,196#,7956#,1#,B-,-14448.0,445#,143.9607,210#
1870,75,69.0,144.0,Tm,-p,-22159#,400#,7850#,3#,B-,*,NA,143.976211,429#
1871,93,52.0,145.0,Te,x,-30010#,300#,7998#,2#,B-,11120.0,583#,144.967783,322#
1872,92,53.0,145.0,I,x,-41130#,500#,8069#,3#,B-,10363.0,500#,144.955845,537#
1873,91,54.0,145.0,Xe,x,-51493.337,11.178,8135.0877,0.0771,B-,8561.0867,14.3929,144.944719631,12.000
1874,90,55.0,145.0,Cs,NA,-60054.424,9.067,8188.7342,0.0625,B-,7461.7591,12.4121,144.935528927,9.733
1875,89,56.0,145.0,Ba,x,-67516.183,8.477,8234.7991,0.0585,B-,5319.1425,14.9122,144.9275184,9.100
1876,88,57.0,145.0,La,NA,-72835.325,12.269,8266.0873,0.0846,B-,4231.7331,35.2977,144.921808065,13.170
1877,87,58.0,145.0,Ce,NA,-77067.059,33.900,8289.8762,0.2338,B-,2558.9318,33.6347,144.917265113,36.393
1878,86,59.0,145.0,Pr,NA,-79625.99,7.149,8302.1285,0.0493,B-,1806.014,7.0370,144.914517987,7.674
1879,85,60.0,145.0,Nd,NA,-81432.004,1.271,8309.1883,0.0088,B-,-164.4982,2.5361,144.912579151,1.364
1880,84,61.0,145.0,Pm,NA,-81267.506,2.805,8302.6583,0.0193,B-,-616.099,2.5390,144.912755748,3.011
1881,83,62.0,145.0,Sm,NA,-80651.407,1.485,8293.0139,0.0102,B-,-2659.8832,2.7224,144.913417157,1.594
1882,82,63.0,145.0,Eu,NA,-77991.524,3.060,8269.2744,0.0211,B-,-5064.8984,19.9521,144.916272659,3.285
1883,81,64.0,145.0,Gd,NA,-72926.626,19.716,8228.9485,0.1360,B-,-6526.9329,109.7144,144.921710051,21.165
1884,80,65.0,145.0,Tb,NA,-66399.693,110.896,8178.5397,0.7648,B-,-8157.0853,111.0872,144.928717001,119.051
1885,79,66.0,145.0,Dy,x,-58242.607,6.520,8116.8884,0.0450,B-,-9122.4943,9.9019,144.937473992,7.000
1886,78,67.0,145.0,Ho,x,-49120.113,7.452,8048.5792,0.0514,B-,-9880.0,200#,144.947267392,8.000
1887,77,68.0,145.0,Er,x,-39240#,200#,7975#,1#,B-,-11657.0,280#,144.957874,215#
1888,76,69.0,145.0,Tm,-p,-27583#,196#,7889#,1#,B-,*,NA,144.970389,210#
1889,93,53.0,146.0,I,x,-35540#,300#,8031#,2#,B-,12415.0,301#,145.961846,322#
1890,92,54.0,146.0,Xe,x,-47954.950,24.219,8110.4154,0.1659,B-,7355.4298,24.3911,145.948518245,26.000
1891,91,55.0,146.0,Cs,x,-55310.380,2.893,8155.4365,0.0198,B-,9555.8882,3.3918,145.940621867,3.106
1892,90,56.0,146.0,Ba,x,-64866.269,1.770,8215.5293,0.0121,B-,4354.9052,2.4366,145.9303632,1.900
1893,89,57.0,146.0,La,NA,-69221.174,1.675,8239.9988,0.0115,B-,6404.6947,14.7146,145.925688017,1.797
1894,88,58.0,146.0,Ce,NA,-75625.868,14.665,8278.5081,0.1004,B-,1047.6178,32.4842,145.918812294,15.743
1895,87,59.0,146.0,Pr,NA,-76673.486,34.356,8280.3250,0.2353,B-,4252.43,34.3686,145.91768763,36.882
1896,86,60.0,146.0,Nd,NA,-80925.916,1.273,8304.0927,0.0087,B-,-1471.556,4.1194,145.913122459,1.366
1897,85,61.0,146.0,Pm,+,-79454.360,4.275,8288.6550,0.0293,B-,1542.0,3.0000,145.91470224,4.589
1898,84,62.0,146.0,Sm,NA,-80996.36,3.045,8293.8581,0.0209,B-,-3878.7573,5.8685,145.913046835,3.269
1899,83,63.0,146.0,Eu,NA,-77117.603,6.009,8261.9327,0.0412,B-,-1031.7798,7.0750,145.917210852,6.451
1900,82,64.0,146.0,Gd,NA,-76085.823,4.076,8249.5072,0.0279,B-,-8322.1791,44.7488,145.918318513,4.376
1901,81,65.0,146.0,Tb,NA,-67763.644,44.860,8187.1474,0.3073,B-,-5208.7165,45.1580,145.927252739,48.159
1902,80,66.0,146.0,Dy,NA,-62554.928,6.695,8146.1128,0.0459,B-,-11316.7007,9.3917,145.932844526,7.187
1903,79,67.0,146.0,Ho,NA,-51238.227,6.587,8063.2426,0.0451,B-,-6916.2074,9.3987,145.944993503,7.071
1904,78,68.0,146.0,Er,NA,-44322.019,6.705,8010.5127,0.0459,B-,-13267.0,200#,145.952418357,7.197
1905,77,69.0,146.0,Tm,-p,-31055#,200#,7914#,1#,B-,*,NA,145.966661,215#
1906,94,53.0,147.0,I,x,-31200#,300#,8001#,2#,B-,11199.0,361#,146.966505,322#
1907,93,54.0,147.0,Xe,x,-42400#,200#,8072#,1#,B-,9520.0,200#,146.954482,215#
1908,92,55.0,147.0,Cs,x,-51920.073,8.383,8131.8010,0.0570,B-,8343.9631,21.4535,146.944261512,9.000
1909,91,56.0,147.0,Ba,x,-60264.036,19.748,8183.2405,0.1343,B-,6414.3615,22.4660,146.9353039,21.200
1910,90,57.0,147.0,La,x,-66678.397,10.712,8221.5536,0.0729,B-,5335.5046,13.7248,146.9284178,11.500
1911,89,58.0,147.0,Ce,NA,-72013.902,8.580,8252.5274,0.0584,B-,3430.1913,15.5317,146.9226899,9.211
1912,88,59.0,147.0,Pr,NA,-75444.093,15.855,8270.5400,0.1079,B-,2702.7013,15.8571,146.919007438,17.020
1913,87,60.0,147.0,Nd,NA,-78146.794,1.275,8283.6036,0.0087,B-,895.1896,0.5664,146.916105969,1.368
1914,86,61.0,147.0,Pm,NA,-79041.984,1.288,8284.3712,0.0088,B-,224.0638,0.2940,146.915144944,1.382
1915,85,62.0,147.0,Sm,NA,-79266.048,1.262,8280.5734,0.0086,B-,-1721.4367,2.2832,146.914904401,1.354
1916,84,63.0,147.0,Eu,NA,-77544.611,2.569,8263.5409,0.0175,B-,-2187.6833,2.5273,146.91675244,2.758
1917,83,64.0,147.0,Gd,NA,-75356.928,1.887,8243.3366,0.0128,B-,-4614.2543,8.1414,146.919101014,2.025
1918,82,65.0,147.0,Tb,NA,-70742.674,8.096,8206.6250,0.0551,B-,-6546.6266,11.9939,146.92405462,8.691
1919,81,66.0,147.0,Dy,x,-64196.047,8.849,8156.7680,0.0602,B-,-8438.946,10.1644,146.931082712,9.500
1920,80,67.0,147.0,Ho,NA,-55757.101,5.001,8094.0381,0.0340,B-,-9149.2869,38.5173,146.940142293,5.368
1921,79,68.0,147.0,Er,x,-46607.814,38.191,8026.4760,0.2598,B-,-10633.4071,38.7987,146.949964456,41.000
1922,78,69.0,147.0,Tm,NA,-35974.407,6.839,7948.8178,0.0465,B-,*,NA,146.961379887,7.341
1923,94,54.0,148.0,Xe,x,-38650#,300#,8047#,2#,B-,8261.0,300#,147.958508,322#
1924,93,55.0,148.0,Cs,x,-46910.950,13.041,8097.5469,0.0881,B-,10633.9614,13.1258,147.949639026,14.000
1925,92,56.0,148.0,Ba,x,-57544.911,1.490,8164.1118,0.0101,B-,5163.8307,19.5252,147.938223,1.600
1926,91,57.0,148.0,La,x,-62708.742,19.468,8193.7165,0.1315,B-,7689.6824,22.4573,147.9326794,20.900
1927,90,58.0,148.0,Ce,NA,-70398.424,11.195,8240.3876,0.0756,B-,2137.0282,12.5663,147.924424186,12.017
1928,89,59.0,148.0,Pr,NA,-72535.452,15.041,8249.5409,0.1016,B-,4872.6133,15.0858,147.922129992,16.147
1929,88,60.0,148.0,Nd,NA,-77408.066,2.053,8277.1778,0.0139,B-,-542.1891,5.8755,147.916899027,2.203
1930,87,61.0,148.0,Pm,+p,-76865.877,5.690,8268.2283,0.0384,B-,2470.1898,5.6409,147.917481091,6.108
1931,86,62.0,148.0,Sm,NA,-79336.067,1.246,8279.6326,0.0084,B-,-3038.5844,9.9657,147.914829233,1.337
1932,85,63.0,148.0,Eu,NA,-76297.482,9.961,8253.8155,0.0673,B-,-28.063,9.9633,147.918091288,10.693
1933,84,64.0,148.0,Gd,NA,-76269.419,1.460,8248.3398,0.0099,B-,-5732.4723,12.5208,147.918121414,1.566
1934,83,65.0,148.0,Tb,NA,-70536.947,12.463,8204.3207,0.0842,B-,-2677.5501,9.5961,147.924275476,13.379
1935,82,66.0,148.0,Dy,NA,-67859.397,8.724,8180.9430,0.0589,B-,-9868.2304,84.2872,147.927149944,9.365
1936,81,67.0,148.0,Ho,x,-57991.166,83.834,8108.9797,0.5664,B-,-6512.1694,84.4583,147.937743925,90.000
1937,80,68.0,148.0,Er,x,-51478.997,10.246,8059.6924,0.0692,B-,-12713.963,14.4906,147.944735026,11.000
1938,79,69.0,148.0,Tm,x,-38765.034,10.246,7968.5011,0.0692,B-,-8535.0,400#,147.958384026,11.000
1939,78,70.0,148.0,Yb,x,-30230#,400#,7906#,3#,B-,*,NA,147.967547,429#
1940,95,54.0,149.0,Xe,x,-33000#,300#,8009#,2#,B-,10300.0,500#,148.964573,322#
1941,94,55.0,149.0,Cs,x,-43300#,400#,8073#,3#,B-,9531.0,400#,148.953516,429#
1942,93,56.0,149.0,Ba,x,-52830.620,2.515,8131.8495,0.0169,B-,7389.301,200.2781,148.943284,2.700
1943,92,57.0,149.0,La,+,-60219.921,200.262,8176.1915,1.3440,B-,6450.0,200.0000,148.935351259,214.990
1944,91,58.0,149.0,Ce,x,-66669.921,10.246,8214.2294,0.0688,B-,4369.4525,14.2296,148.9284269,11.000
1945,90,59.0,149.0,Pr,x,-71039.373,9.874,8238.3040,0.0663,B-,3336.1617,10.0853,148.9237361,10.600
1946,89,60.0,149.0,Nd,-n,-74375.535,2.054,8255.4437,0.0138,B-,1688.8697,2.4588,148.920154583,2.205
1947,88,61.0,149.0,Pm,NA,-76064.404,2.184,8261.5277,0.0147,B-,1071.4936,1.8747,148.918341507,2.344
