,N,Z,A,Elt.,Orig.,Mass excess (keV),Mass excess (uncertainty),Binding energy per nucleon (keV),Binding energy per nucleon (uncertainty),Beta-decay Type,Beta-decay energy (keV),Beta-decay energy (uncertainty),Atomic mass (μu),Atomic mass (uncertainty)
80,10,7.0,17.0,N,+p,7870.079,15.000,7286.2294,0.8824,B-,8678.843,15.0000,17.008448876,16.103
81,9,8.0,17.0,O,NA,-808.76421,0.00064,7750.7291,0.0002,B-,-2760.4655,0.2479,16.99913175595,0.00069
82,8,9.0,17.0,F,NA,1951.701,0.248,7542.3284,0.0146,B-,-14548.7507,0.4323,17.002095237,0.266
83,7,10.0,17.0,Ne,NA,16500.452,0.354,6640.4991,0.0208,B-,-18219.1277,59.6167,17.017713962,0.380
84,6,11.0,17.0,Na,x,34719.580,59.616,5522.7653,3.5068,B-,*,NA,17.037273,64.000
85,13,5.0,18.0,B,-n,51792.640,204.165,4976.6306,11.3425,B-,26873.3742,206.3572,18.055601683,219.180
86,12,6.0,18.0,C,++,24919.266,30.000,6426.1321,1.6667,B-,11806.0982,35.2821,18.02675193,32.206
87,11,7.0,18.0,N,+,13113.167,18.570,7038.5627,1.0316,B-,13895.9838,18.5695,18.014077563,19.935
88,10,8.0,18.0,O,NA,-782.81634,0.00064,7767.0981,0.0002,B-,-1655.9288,0.4633,17.99915961214,0.00069
89,9,9.0,18.0,F,NA,873.112,0.463,7631.6383,0.0257,B-,-4444.5049,0.5888,18.000937324,0.497
90,8,10.0,18.0,Ne,NA,5317.617,0.363,7341.2577,0.0202,B-,-19720.3745,93.8819,18.005708696,0.390
91,7,11.0,18.0,Na,NA,25037.992,93.881,6202.2176,5.2156,B-,*,NA,18.026879388,100.785
92,14,5.0,19.0,B,x,59770.251,525.363,4719.6346,27.6507,B-,27356.4961,534.4964,19.064166,564.000
93,13,6.0,19.0,C,-n,32413.754,98.389,6118.2740,5.1784,B-,16557.4995,99.7475,19.034797594,105.625
94,12,7.0,19.0,N,p-2n,15856.255,16.404,6948.5452,0.8634,B-,12523.3972,16.6143,19.017022389,17.610
