0.3273	6.596	B			
0.3361	6.605	B			
0.3483	6.623	B			
0.3201	6.623	B			
0.3116	6.641	B			
0.3593	6.658	B			
0.3437	6.667	B			
0.3258	6.676	B			
0.3346	6.685	B			
0.3756	6.712	B			
0.3498	6.721	B			
0.3927	6.747	B			
0.3641	6.747	B			
0.3773	6.765	B			
0.4088	6.774	B			
0.4235	6.783	B			
0.3892	6.810	B			
0.3707	6.827	B			
0.4161	6.845	B			
0.3962	6.863	B			
0.4034	6.898	B			
0.1023	3.992	C	Zha06c		
0.1370	4.533	C			
0.1787	4.988	C			
0.2256	5.430	C			
0.2796	5.736	C			
0.3371	5.979	C			
0.4223	6.087	C			
0.5045	5.994	C			
0.5798	5.939	C			
0.6535	5.820	C			
0.7255	5.702	C			
0.7857	5.544	C			
0.8455	5.525	C			
0.8971	5.379	C			
0.9620	5.373	C			
1.017	5.253	C			
1.087	5.071	C			
1.163	5.091	C			
1.219	4.971	C			
1.273	4.788	C			
