energy,unc_en,intensity_%,unc_i,type,shell, parent Z, N, symbol, parent energy shift,parent energy  [keV] , unc, jp,  half_life, half-life operator,unc,unit, half_life [s], unc, decay, decay %, unc,Q , unc, Z,N, symbol ,ENSDF_publication_cut-off,ENSDF_authors,Extraction_date
4.122, ,0.09027202199686875,0.00841070789801191,X,L3O1,50,71,Sn, ,6.31,0.06,11/2-,43.9, ,5,Y,1385349050.2845888,15778462.987296,B-,22.4,2,402.5,25,51,70,Sb,20-Jan-2009,S. OHYA,2022-05-11
4.131, ,0.000848088414056,0.00010967588782565503,X,L2N4,50,71,Sn, ,6.31,0.06,11/2-,43.9, ,5,Y,1385349050.2845888,15778462.987296,IT,77.6,2, ,,50,71,Sn,20-Jan-2009,S. OHYA,2022-05-11
4.148, ,0.000848088414056,0.00010967588782565503,X,L2O1,50,71,Sn, ,6.31,0.06,11/2-,43.9, ,5,Y,1385349050.2845888,15778462.987296,IT,77.6,2, ,,50,71,Sn,20-Jan-2009,S. OHYA,2022-05-11
4.228, ,0.00231697379173,0.00020719001102899477,X,L2N1,50,71,Sn, ,6.31,0.06,11/2-,43.9, ,5,Y,1385349050.2845888,15778462.987296,B-,22.4,2,402.5,25,51,70,Sb,20-Jan-2009,S. OHYA,2022-05-11
4.29, ,0.1164606265,0.008584826781028482,X,L1,50,71,Sn, ,6.31,0.06,11/2-,43.9, ,5,Y,1385349050.2845888,15778462.987296,B-,22.4,2,402.5,25,51,70,Sb,20-Jan-2009,S. OHYA,2022-05-11
4.333, ,0.0066998804528934,0.0001811120868552923,X,L2M1,55,82,Cs, ,0, ,7/2+,30.08, ,9,Y,949232333.3157274,2840123.33771328,B-,100, ,1175.63,17,56,81,Ba,1-Oct-2006,E. BROWNE and  J. K. TULI,2022-05-11
4.347, ,0.0536914119045125,0.0047192782495873754,X,L2N4,50,71,Sn, ,6.31,0.06,11/2-,43.9, ,5,Y,1385349050.2845888,15778462.987296,B-,22.4,2,402.5,25,51,70,Sb,20-Jan-2009,S. OHYA,2022-05-11
4.367, ,0.0011748046992,0.0001632547899919613,X,L1N2,50,71,Sn, ,6.31,0.06,11/2-,43.9, ,5,Y,1385349050.2845888,15778462.987296,IT,77.6,2, ,,50,71,Sn,20-Jan-2009,S. OHYA,2022-05-11
4.37, ,0.0536914119045125,0.0047192782495873754,X,L2O1,50,71,Sn, ,6.31,0.06,11/2-,43.9, ,5,Y,1385349050.2845888,15778462.987296,B-,22.4,2,402.5,25,51,70,Sb,20-Jan-2009,S. OHYA,2022-05-11
4.376, ,0.0019746324268,0.0002732644239366225,X,L1N3,50,71,Sn, ,6.31,0.06,11/2-,43.9, ,5,Y,1385349050.2845888,15778462.987296,IT,77.6,2, ,,50,71,Sn,20-Jan-2009,S. OHYA,2022-05-11
4.452, ,0.039972221652558,0.001105760292559486,X,L3M4,55,82,Cs, ,0, ,7/2+,30.08, ,9,Y,949232333.3157274,2840123.33771328,B-,100, ,1175.63,17,56,81,Ba,1-Oct-2006,E. BROWNE and  J. K. TULI,2022-05-11
4.462, ,0.0000979003916,0.000016371203776248835,X,L1O23,50,71,Sn, ,6.31,0.06,11/2-,43.9, ,5,Y,1385349050.2845888,15778462.987296,IT,77.6,2, ,,50,71,Sn,20-Jan-2009,S. OHYA,2022-05-11
4.467, ,0.039972221652558,0.001105760292559486,X,L3M5,55,82,Cs, ,0, ,7/2+,30.08, ,9,Y,949232333.3157274,2840123.33771328,B-,100, ,1175.63,17,56,81,Ba,1-Oct-2006,E. BROWNE and  J. K. TULI,2022-05-11
4.474, ,0.008140114285714286,0.022386657653899453,X,KB,22,22,Ti, ,0, ,0+,59.1, ,3,Y,1865014325.0983872,9467077.7923776,EC,100, ,267.4,19,21,23,Sc,31-Jul-2011,JUN CHEN and  BALRAJ SINGH AND JOHN A. CAMERON,2022-05-11
4.474, ,0.00008659519355844157,0.000004137387229320166,X,KB,22,22,Ti, ,0, ,0+,59.1, ,3,Y,1865014325.0983872,9467077.7923776,EC,100, ,267.4,19,21,23,Sc,31-Jul-2011,JUN CHEN and  BALRAJ SINGH AND JOHN A. CAMERON,2022-05-11
4.474, ,2.2518329557199652,0.07497343754580518,X,KB,22,22,Ti, ,0, ,0+,59.1, ,3,Y,1865014325.0983872,9467077.7923776,EC,100, ,267.4,19,21,23,Sc,31-Jul-2011,JUN CHEN and  BALRAJ SINGH AND JOHN A. CAMERON,2022-05-11
4.474, ,0.16275184624069267,0.006429131576030816,X,KpB1,22,22,Ti, ,0, ,0+,59.1, ,3,Y,1865014325.0983872,9467077.7923776,EC,100, ,267.4,19,21,23,Sc,31-Jul-2011,JUN CHEN and  BALRAJ SINGH AND JOHN A. CAMERON,2022-05-11
4.474, ,0.06010802909090909,0.002254294549219683,X,KpB1,22,22,Ti, ,0, ,0+,59.1, ,3,Y,1865014325.0983872,9467077.7923776,EC,100, ,267.4,19,21,23,Sc,31-Jul-2011,JUN CHEN and  BALRAJ SINGH AND JOHN A. CAMERON,2022-05-11
