energy,unc_en,intensity_%,unc_i,type,shell, parent Z, N, symbol, parent energy shift,parent energy  [keV] , unc, jp,  half_life, half-life operator,unc,unit, half_life [s], unc, decay, decay %, unc,Q , unc, Z,N, symbol ,ENSDF_publication_cut-off,ENSDF_authors,Extraction_date
21.736, ,20.384,0.5209615724791993,CE,L,94,144,Pu, ,0, ,0+,87.7, ,1,Y,2767542407.9717183,3155692.5974592,A,100, ,5593.27,19,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2022-05-11
24.54, ,0.0000000052, ,CE,K,94,144,Pu, ,0, ,0+,87.7, ,1,Y,2767542407.9717183,3155692.5974592,A,100, ,5593.27,19,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2022-05-11
31.35000000000001, ,0.0000005317788,0.0000002216995390926814,CE,K,92,140,U, ,0, ,0+,68.9, ,4,Y,2174272199.649389,12622770.3898368,A,100, ,5413.63,9,90,138,Th,31-Dec-2012,KHALIFEH ABUSALEEM,2022-05-11
31.863000000000003, ,0.0360903816,0.0034204861912669193,CE,K,63,87,Eu, ,0, ,5-,36.9, ,9,Y,1164450568.4624448,28401233.3771328,EC+B+,100, ,2259,6,62,88,Sm,1-Apr-2013,S. K. Basu and  A. A. Sonzogni,2022-05-11
32.447, ,2.26625,0.21089559620817122,CE,L,50,71,Sn, ,6.31,0.06,11/2-,43.9, ,5,Y,1385349050.2845888,15778462.987296,B-,22.4,2,402.5,25,51,70,Sb,20-Jan-2009,S. OHYA,2022-05-11
36.201, ,0.44955,0.041967560091098935,CE,M,50,71,Sn, ,6.31,0.06,11/2-,43.9, ,5,Y,1385349050.2845888,15778462.987296,B-,22.4,2,402.5,25,51,70,Sb,20-Jan-2009,S. OHYA,2022-05-11
36.993, ,0.094905,0.008845690532683132,CE,N+,50,71,Sn, ,6.31,0.06,11/2-,43.9, ,5,Y,1385349050.2845888,15778462.987296,B-,22.4,2,402.5,25,51,70,Sb,20-Jan-2009,S. OHYA,2022-05-11
36.993, ,0.086395,0.008043926031484874,CE,N,50,71,Sn, ,6.31,0.06,11/2-,43.9, ,5,Y,1385349050.2845888,15778462.987296,B-,22.4,2,402.5,25,51,70,Sb,20-Jan-2009,S. OHYA,2022-05-11
37.11, ,0.000201593,0.0000031740715177827988,CE,K,94,144,Pu, ,0, ,0+,87.7, ,1,Y,2767542407.9717183,3155692.5974592,A,100, ,5593.27,19,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2022-05-11
37.135, ,0.008473,0.0007892960217814354,CE,O,50,71,Sn, ,6.31,0.06,11/2-,43.9, ,5,Y,1385349050.2845888,15778462.987296,B-,22.4,2,402.5,25,51,70,Sb,20-Jan-2009,S. OHYA,2022-05-11
37.305, ,22.794072,0.38020141230520443,CE,L,92,140,U, ,0, ,0+,68.9, ,4,Y,2174272199.649389,12622770.3898368,A,100, ,5413.63,9,90,138,Th,31-Dec-2012,KHALIFEH ABUSALEEM,2022-05-11
37.945, ,5.6252,0.1390165457778318,CE,M,94,144,Pu, ,0, ,0+,87.7, ,1,Y,2767542407.9717183,3155692.5974592,A,100, ,5593.27,19,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2022-05-11
40.938, ,0.0000000032, ,CE,L,94,144,Pu, ,0, ,0+,87.7, ,1,Y,2767542407.9717183,3155692.5974592,A,100, ,5593.27,19,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2022-05-11
42.052, ,1.93256,0.048046510799432667,CE,N+,94,144,Pu, ,0, ,0+,87.7, ,1,Y,2767542407.9717183,3155692.5974592,A,100, ,5593.27,19,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2022-05-11
42.052, ,1.52488,0.03900826579072697,CE,N,94,144,Pu, ,0, ,0+,87.7, ,1,Y,2767542407.9717183,3155692.5974592,A,100, ,5593.27,19,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2022-05-11
