,Beta-decay energy (keV),Half life (years),Isotope,Beta-decay fraction,Average beta decay energy,Half life (seconds),Power density (W/g),Evaluation,Half life (log(years))
1736,*,3.263873044844982e-15,72Rb,0.0,5.69,1.03e-07,3812510.718251305,0.0,-33.35586185413973
1737,27356.4961,9.252921641696452e-11,19B,1.0,5.69,0.0029199999999999994,14447409.037583895,7.762847305035994e-74,-23.1034966681249
1738,-2846.8656,1.2852688417370142e-05,170Ta,0.0,5.69,405.59999999999997,2757.0911469128846,0.0,-11.261957553145983
1739,-4417.2524,0.00013232945471138488,195Tl,0.0,367.0,4175.999999999999,15069.251630783721,0.0,-8.930215875860481
1740,-11075.0,2.8519279032626053e-08,153Lu,0.0,5.69,0.8999999999999999,963556.275799876,0.0,-17.372685521080783
1741,3642.5294,0.00040383299110198495,92Y,1.0,68.0,12744.0,1939.3682276199772,1.3717489676070365e-24,-7.814509153833072
1742,4038.7874,4.2398661495170736e-06,129Sn,1.0,5.69,133.8,10995.089463904807,1.148195758467831e-39,-12.370978857728828
1743,251.9958,0.00622861054072553,66Ni,1.0,65.0,196560.0,167.544538769361,3.7954186505034536e-16,-5.078601998227895
1744,*,1.2992116003751866e-10,180Pb,0.0,5.69,0.004099999999999999,1525004.2873005222,0.0,-22.764093310694832
1745,-2813.0,1.109083073491013e-09,226Np,0.0,5.69,0.034999999999999996,1214605.1815307015,0.0,-20.61973222291568
1746,-8216.5333,6.179177123735644e-07,185Tl,0.0,5.69,19.499999999999996,51816.352328939734,0.0,-14.296910539853254
1747,-3621.5986,0.05538672142368241,230U,0.0,5586.0,1747872.0,464.6438019774106,0.0,-2.893415399451155
1748,*,4.911653611174487e-09,146Tm,0.0,5.69,0.155,1858660.9151660616,0.0,-19.131655167485846
1749,492.1062,0.12761122518822723,203Hg,1.0,57.7,4027103.9999999995,2.3601720162346496,1.659795884403457e-07,-2.0587669402461595
1750,1404.0231,0.0005236139630390143,179Lu,1.0,55.9,16524.0,631.9624093239984,3.57092722895576e-24,-7.554755856906301
1751,-5880.2841,0.0024526579968058406,200Pb,0.0,7.78,77400.0,16.805965218425214,0.0,-6.010582945845138
1752,-2418.0,7.763581514437092e-07,257No,0.0,5.69,24.499999999999996,29794.824921879153,0.0,-14.068651887872274
1753,-1478.3526,unknown,171Yb,0.0,5.69,unknown,unknown,0.0,0.0
1754,13317.4543,2.021700002535047e-09,66Mn,1.0,5.69,0.0638,4159023.0478893146,1.1607134586237507e-63,-20.019327094054347
1755,-920.0039,unknown,83Kr,0.0,1.5,unknown,unknown,0.0,0.0
1756,19084.2343,3.225847339468147e-10,15B,1.0,5.69,0.01018,18300051.44760626,2.145866984894528e-69,-21.854655273282717
1757,-6856.003,3.8342586254975023e-07,159Lu,0.0,5.69,12.099999999999998,96118.42820062664,0.0,-14.774119552820261
1758,-11221.0593,8.565290136132026e-09,28P,0.0,5.69,0.27030000000000004,9049033.289074188,0.0,-18.57554783112269
1759,16584.0,1.0773949856769842e-09,82Cu,1.0,5.69,0.033999999999999996,3347570.382070121,6.077560858429855e-66,-20.648719759788932
1760,4448.6112,1.3499125408776332e-06,160Eu,1.0,5.69,42.6,27689.239250635263,3.053205809066628e-43,-13.515470752147632
1761,5796.6788,8.017086216949322e-08,165Eu,1.0,5.69,2.5299999999999994,398684.9878021847,6.803968834231993e-52,-16.339105702683526
1762,*,7.922021953507237e-12,178Pb,0.0,5.69,0.00025,1542139.1669331123,0.0,-25.561374645524985
1763,-7534.0866,4.563084645220169e-09,213Th,0.0,5.69,0.144,1278272.4955929907,0.0,-19.20526698482909
1764,*,2.535047025122316e-08,123Pr,0.0,5.69,0.7999999999999999,1293393.6118269435,0.0,-17.490468556737166
1765,-1823.0137,unknown,141Pr,0.0,5.69,unknown,unknown,0.0,0.0
1766,11120.0,2.376606586052171e-09,145Te,0.0,5.69,0.075,1892925.352299102,0.0,-19.857592170868784
1767,2518.4717,3.441326336603544e-05,159Eu,1.0,5.69,1086.0,1101.5481687163804,2.1667577477377687e-33,-10.277068504929074
1768,-2140.6068,unknown,162Dy,0.0,5.69,unknown,unknown,0.0,0.0
1769,-6237.0,1.2770299389053664e-06,240Cf,0.0,5.69,40.29999999999999,19503.97953812311,0.0,-13.57097353647032
1770,*,unknown,61As,0.0,5.69,unknown,unknown,0.0,0.0
1771,3661.3385,8.524095621973786e-07,63Co,1.0,5.69,26.899999999999995,110839.06742236656,3.089437163023973e-44,-13.975198718815163
1772,-5036.037,2.2054909118564147e-05,129La,0.0,5.69,695.9999999999999,2118.136000257698,0.0,-10.721975345088536
1773,-1166.0,unknown,177Hf,0.0,6.18,unknown,unknown,0.0,0.0
1774,-2321.0,2.535047025122316e-10,278Rg,0.0,5.69,0.008,987412.8478924244,0.0,-22.095638742725257
1775,*,2.9469921667046923e-09,110Xe,0.0,5.69,0.093,2494015.2249884782,0.0,-19.642480791251838
1776,140.0,4.753213172104342e-08,259Fm,0.0,5.69,1.4999999999999998,392185.7971683663,0.0,-16.86185989731479
1777,*,6.337617562805789e-13,107I,0.0,5.69,1.9999999999999998e-05,2565427.7730289157,0.0,-28.087103289833237
1778,-3015.0,1.901285268841737e-09,273Hs,0.0,5.69,0.06,1005487.6670085426,0.0,-20.080735722182993
1779,*,6.33761756280579e-09,119Ce,0.0,5.69,0.19999999999999998,2234643.8873783913,0.0,-18.876762917857057
1780,-1111.6847,2.7568636398205184e-06,138Pr,0.0,401.0,86.99999999999999,1112433.0655255786,0.0,-12.801416886768372
1781,-17720.0,2.6142672446573883e-09,62Ge,0.0,5.69,0.0825,4426437.991644527,0.0,-19.76228199106446
1782,12551.0,7.478388724110832e-09,49Ar,1.0,5.69,0.236,5305029.065104747,5.189817124559978e-59,-18.71124847937948
1783,5653.4982,4.721525084290313e-08,159Pm,1.0,5.69,1.4899999999999998,642211.2393567015,1.5861209903495698e-53,-16.86854888546559
1784,10663.8784,3.786726493776459e-09,8He,1.0,5.69,0.1195,34208754.20673115,1.4462679568724978e-60,-19.39176391303353
1785,-6546.6266,0.0001870864704540269,147Tb,0.0,757.0,5904.0,29165.09979728833,0.0,-8.583939639142647
1786,-5478.0,8.555783709787816e-07,233Cm,0.0,5.69,27.0,29859.78264072115,0.0,-13.971488139418627
1787,8850.0,7.763581514437092e-09,153La,1.0,5.69,0.245,1688158.7067788069,2.227974476228705e-59,-18.673822073860364
1788,*,unknown,66Br,0.0,5.69,unknown,unknown,0.0,0.0
1789,-5323.114,4.3539432656475775e-05,79Rb,0.0,355.0,1374.0,109335.64036766965,0.0,-10.04184353264066
1790,4212.8293,1.76249144421629e-05,139Cs,1.0,5.69,556.1999999999999,2459.5330400690586,2.2901756910478302e-35,-10.946197063623092
1791,-12580.0,1.6477805663295054e-07,118Ba,0.0,5.69,5.2,290308.6440105376,0.0,-15.618666379835574
1792,-10422.0,2.2181661469820262e-07,103Sn,0.0,5.69,6.999999999999999,251251.71761101577,0.0,-15.321414856367642
1793,8050.0,6.33761756280579e-08,204Ir,0.0,5.69,1.9999999999999998,394114.77742214565,0.0,-16.57417782486301
1794,18200.0,1.267523512561158e-10,44Si,0.0,5.69,0.004,6238653.9025930455,0.0,-22.788785923285204
1795,2958.9765,1.660455801455117e-07,122Cd,1.0,5.69,5.24,278785.555059232,1.6109750960621288e-49,-15.611003507090006
1796,*,4.119451415823764e-09,286Fl,0.0,5.69,0.13,955152.4357834476,0.0,-19.30754583394951
1797,-6755.1411,unknown,84Sr,0.0,5.69,unknown,unknown,0.0,0.0
1798,-27.9978,0.004337211955281771,194Au,0.0,528.0,136872.0,664.9258911538933,0.0,-5.440523543918471
1799,-177.7503,2.390866225568484e-06,82Rb,0.0,198.0,75.44999999999999,1065259.677086368,0.0,-12.943854820209099
1800,6104.0,1.9012852688417367e-07,186Lu,0.0,5.69,5.999999999999999,161012.8283089987,0.0,-15.475565536194901
1801,-2516.0,1.9646614444697947e-07,259Lr,0.0,5.69,6.199999999999999,112105.5500804756,0.0,-15.44277571337191
1802,2311.375,4.372956118335995e-06,221At,1.0,5.69,138.0,6223.1094435629975,8.321629832651621e-40,-12.340071320265752
1803,-8964.8059,1.0457068978629552e-05,102Cd,0.0,5.69,329.99999999999994,5646.754321780925,0.0,-11.46823235096243
1804,-845.8453,unknown,180Hf,0.0,29.5,unknown,unknown,0.0,0.0
1805,-8184.8462,2.0343752376606585e-05,194Pb,0.0,5.69,642.0,1526.8551801077147,0.0,-10.802736701732995
1806,2125.7592,1.901285268841737e-06,203Au,1.0,5.69,60.0,15531.57771932209,2.6521240913524634e-42,-13.172980443200855
1807,4188.9614,5.095444520495855e-06,154Pm,1.0,5.69,160.79999999999998,7667.019418877967,3.484040396153304e-39,-12.18716364867809
1808,16070.0,4.753213172104343e-10,98Br,0.0,5.69,0.015,2801028.2827968774,0.0,-21.467030083302884
1809,*,1.9361421654371688e-11,160Re,0.0,5.69,0.000611,1715629.8232130874,0.0,-24.667738604215636
1810,-105.5863,unknown,160Gd,0.0,5.69,unknown,unknown,0.0,0.0
1811,5985.1877,2.0724009430374932e-07,55V,1.0,5.69,6.539999999999999,501900.13908569486,1.7076842225193206e-48,-15.389387839953848
1812,*,8.872664587928104e-11,48Ni,0.0,5.69,0.0027999999999999995,5718766.077376958,0.0,-23.145460867223935
1813,313.3741,9.12807057570918e-06,221Fr,4.7999999999999994e-05,5776.0,288.06,3030304.780959717,0.0,-11.604156213652052
1814,7194.0221,3.219509721905341e-08,42S,1.0,5.69,1.016,3231999.8718848014,3.730690848305549e-54,-17.251451656266667
1815,-358.0009,unknown,131Xe,0.0,3.43,unknown,unknown,0.0,0.0
1816,-16650.0,unknown,63As,0.0,5.69,unknown,unknown,0.0,0.0
1817,9226.9772,1.1968590767358733e-08,95Rb,1.0,5.69,0.3777,2428364.1336100185,1.0224873689367389e-57,-18.24098005468668
1818,8439.3084,7.066443582528455e-08,23F,1.0,5.69,2.2299999999999995,3188509.4226825316,1.9824163571231142e-51,-16.465323419950927
1819,*,4.2145156792658504e-10,42Cr,0.0,5.69,0.0133,6535732.659859381,0.0,-21.587316249177384
1820,4105.9329,7.763581514437092e-07,73Zn,1.0,5.69,24.499999999999996,104894.10965647864,1.3843568029649137e-44,-14.068651887872274
1821,-51.9128,unknown,123Sb,0.0,5.69,unknown,unknown,0.0,0.0
1822,560.8226,0.007053388090349075,67Cu,1.0,51.0,222587.99999999997,114.35356656046599,7.005384155568703e-16,-4.954247197408277
1823,349.0,0.19101984941820668,188W,1.0,14.9,6028127.999999999,0.4396455616764263,7.793466630149249e-07,-1.6553779326796638
1824,9635.0,1.9456485917813772e-09,70Fe,1.0,5.69,0.06139999999999999,3921390.5416395804,8.052956060249874e-64,-20.057670449251997
1825,*,unknown,39V,0.0,5.69,unknown,unknown,0.0,0.0
1826,-877.0,0.00015210282150733895,266Db,0.0,5.69,4800.0,149.00978903852715,0.0,-8.790953808526973
1827,-9209.4466,1.3942758638172737e-06,174Os,0.0,5.69,43.99999999999999,24657.599900370747,0.0,-13.483135371504694
1828,-17482.0,9.506426344208685e-11,96Cd,0.0,5.69,0.003,2859383.038688479,0.0,-23.076467995736984
1829,7024.4689,3.487654320987654e-07,20F,1.0,5.69,11.006199999999998,837718.159297856,1.8338566986941417e-46,-14.868866255044264
1830,11806.0982,2.915304078890663e-09,18C,1.0,5.69,0.09199999999999998,15241891.966823371,7.952611395132693e-62,-19.653291707356054
1831,7338.5338,2.2973863665170987e-08,160Pm,1.0,5.69,0.725,1056137.4158301353,8.195826281850487e-56,-17.588908629550417
1832,7304.8989,8.11215048039141e-08,71Ni,1.0,5.69,2.5599999999999996,917068.1248113912,1.7198460941643753e-51,-16.327317746931485
1833,-15277.9163,0.016632443531827516,56Ni,0.0,0.75,524880.0,0.8532370180886107,0.0,-4.096400061404196
1834,-1695.5543,8.74591223667199e-06,230Np,0.0,5.69,276.0,2993.5525245635185,0.0,-11.646924139705806
1835,4082.3946,9.981747661419118e-05,134I,1.0,211.0,3149.9999999999995,16713.834053102062,1.6471334218033947e-28,-9.212167273603278
1836,-2438.1843,0.0036573123431439657,129Cs,0.0,3.43,115416.00000000001,7.70360224826902,0.0,-5.611026733797347
1837,-2684.8905,9.278272111947676e-05,231Np,0.0,5.69,2928.0,281.2772284523053,0.0,-9.285250130341753
1838,-7886.0592,1.0780287474332649e-05,206Rn,0.0,5.69,340.2,2712.2214438350024,0.0,-11.437791325461195
1839,*,unknown,43Mn,0.0,5.69,unknown,unknown,0.0,0.0
1840,15758.0,1.2675235125611579e-09,52Ar,0.0,5.69,0.039999999999999994,5278860.837179489,0.0,-20.486200830291157
1841,8899.0,6.33761756280579e-09,168Eu,1.0,5.69,0.19999999999999998,1582872.7535596937,4.119592247140304e-60,-18.876762917857057
1842,413.8838,4.436332293964052e-11,218Fr,0.0,5.69,0.0013999999999999998,1259177.8518995137,0.0,-23.83860804778388
1843,10990.3608,3.0420564301467792e-09,55Sc,1.0,5.69,0.096,4987271.786413327,3.657641731763097e-62,-19.61073209293726
1844,2683.0,7.605141075366947e-07,230Rn,0.0,5.69,23.999999999999996,33976.10488059753,0.0,-14.08927117507501
1845,*,unknown,31K,0.0,5.69,unknown,unknown,0.0,0.0
1846,21661.2131,2.7251755520064893e-30,5H,0.0,5.69,8.599999999999999e-23,54900154.3428188,0.0,-68.07501994102654
1847,4228.2364,1.4259639516313025e-06,234Ac,1.0,5.69,44.99999999999999,17930.82100572316,3.0652686871780284e-43,-13.460662515652636
1848,-14330.0,4.1194514158237636e-08,116Ba,0.0,5.69,1.3,977955.7826764754,0.0,-17.004960740955465
1849,-8348.2439,1.990011914721018e-09,201Fr,0.0,5.69,0.0628,1365653.5088280311,0.0,-20.03512521093094
1850,-11874.3955,5.62653687225898e-08,35Ar,0.0,5.69,1.7755999999999998,2534786.8438635007,0.0,-16.693186611445213
1851,-3186.0,2.2815423226100844e-05,253Md,0.0,5.69,720.0,1044.0155838004682,0.0,-10.688073793412855
1852,2.4667,41600000000.0,187Re,1.0,0.66,1.31279616e+18,0.0,0.0,24.45136600421363
1853,4631.0,9.60149060765077e-08,168Gd,1.0,5.69,3.0299999999999994,334109.4555133768,2.4132263457470903e-51,-16.158762385901678
1854,*,3.168808781402895e-11,81Mo,0.0,5.69,0.001,3388898.416223382,0.0,-24.175080284405094
1855,-6441.1134,9.062793114812279e-09,194At,0.0,5.69,0.286,1289583.649271254,0.0,-18.519088473585242
1856,*,4.119451415823763e-29,18Na,0.0,5.69,1.2999999999999999e-21,15250042.87300522,0.0,-65.35924769383043
1857,-4613.3046,2.0597257079118817e-12,223U,0.0,5.69,6.5e-05,1230945.1646371929,0.0,-26.908448293491592
1858,-11660.0,1.0140188100489264e-07,85Mo,0.0,5.69,3.1999999999999997,628945.3204119428,0.0,-16.104174195617276
1859,*,6.33761756280579e-11,265Mt,0.0,5.69,0.002,1035851.9687324301,0.0,-23.481933103845147
1860,-5208.7165,2.535047025122316e-07,146Tb,0.0,1015.0,7.999999999999999,27835653.75726384,0.0,-15.18788346374312
1861,9531.0,3.558572261515451e-09,149Cs,1.0,5.69,0.1123,1838443.1801899201,4.727772011696976e-62,-19.453906422660694
1862,-10001.0,1.0457068978629552e-07,125Pr,0.0,5.69,3.3,416037.5539207547,0.0,-16.07340253695052
1863,-1948.0,2.6934874641924606e-08,274Mt,0.0,5.69,0.85,558586.4861909116,0.0,-17.42984393492073
1864,-8374.7035,9.544452049585519e-06,95Rh,0.0,5.69,301.2,6641.877111802589,0.0,-11.559550509497218
1865,-6253.2213,4.220853296828656e-06,117I,0.0,5.69,133.2,12177.256154995872,0.0,-12.375473247316666
1866,-2232.7914,6.996729789337592e-05,172Ta,0.0,659.0,2208.0,58015.82825558671,0.0,-9.56748259802597
1867,*,8.555783709787816e-12,188Po,0.0,5.69,0.00027,1460110.4878409253,0.0,-25.484413604388855
1868,-6386.8322,1.3562501584404388e-06,183Au,0.0,5.69,42.79999999999999,24096.95754868905,0.0,-13.510786902835205
1869,-517.431,unknown,133Cs,0.0,5.69,unknown,unknown,0.0,0.0
1870,2155.2212,1.901285268841737e-06,104Mo,1.0,5.69,60.0,30316.44497136907,5.176742216774519e-42,-13.172980443200855
1871,-3801.6487,2.832915050574188e-06,132Pr,0.0,5.69,89.4,16061.091475857422,0.0,-12.774204323243488
1872,*,1.1407711613050422e-09,97In,0.0,5.69,0.036,2829904.8507340946,0.0,-20.591561345948982
1873,-1103.8722,0.00421,97Tc,0.0,2.17,132857.496,5.630637496706921,0.0,-5.470292631287847
1874,-7865.6231,1.2301315689406037e-08,197At,0.0,5.69,0.38819999999999993,1159722.235627212,0.0,-18.213559613670185
