,Beta-decay energy (keV),Half life (years),Isotope,Beta-decay fraction,Average beta decay energy,Half life (seconds)
833,2917.709,0.00032226785306867445,88Kr,1.0,38.0,10170.000000000002
834,970.7242,0.0021080310289755873,159Gd,1.0,30.4,66524.4
835,*,7.288260197226658e-14,144Tm,0.0,5.69,2.2999999999999996e-06
836,-8779.9397,3.263873044844982e-07,152Er,0.0,5.69,10.3
837,17549.0,3.1688087814028947e-10,60Sc,0.0,5.69,0.009999999999999998
838,-6311.6152,3.992699064567647e-07,211Ra,0.0,5.69,12.599999999999998
839,2028.073,1.9393109742185715e-05,213Pb,1.0,5.69,611.9999999999999
840,8595.0,2.4875148934012723e-09,108Zr,1.0,5.69,0.07849999999999999
841,-6690.0,6.33761756280579e-09,272Ds,0.0,5.69,0.19999999999999998
843,11535.0,1.6477805663295053e-09,126Ag,1.0,5.69,0.052
844,-947.0,6.33761756280579e-07,288Nh,0.0,5.69,20.0
845,962.0559,5.4757015742642024e-05,164Ho,0.0,306.2,1728.0
846,*,5.703855806525211e-11,54Zn,0.0,5.69,0.0018
847,9051.4949,2.978680254518721e-08,100Y,1.0,5.69,0.94
848,238.5672,0.0003171343828428017,224Ac,0.0,5712.8,10007.999999999998
849,-6742.0,6.65449844094608e-08,228Pu,0.0,5.69,2.1
851,-5916.0,1.2041473369331e-10,217Pa,0.0,5.69,0.0037999999999999996
852,1291.4491,0.005746748802190281,238Np,1.0,23.0,181353.6
853,12424.5003,4.468020381778082e-09,37Si,1.0,5.69,0.141
854,*,7.319948285040687e-12,172Hg,0.0,5.69,0.00023099999999999998
855,-3940.0,0.08323066392881587,240Cm,0.0,5989.2,2626559.9999999995
856,-9485.6366,1.0045123837047177e-09,212Th,0.0,5.69,0.0317
858,-6425.9062,1.5558851116688213e-06,185Hg,0.0,5.69,49.099999999999994
859,14922.0,2.1547899713539683e-09,45S,1.0,5.69,0.06799999999999999
860,-5724.9628,1.1027454559282074e-05,115Te,0.0,5.69,347.99999999999994
861,-4205.2887,8.210383552614901e-13,218Ra,0.0,5.69,2.5909999999999998e-05
862,-8831.1685,2.0914137957259105e-05,124Ba,0.0,5.69,659.9999999999999
863,1158.3989,6.635485588257661e-05,196Os,1.0,5.69,2093.9999999999995
864,15820.0,9.506426344208685e-10,81Ni,0.0,5.69,0.03
865,3852.9638,1.536872258980404e-06,226Fr,1.0,5.69,48.5
866,-6989.4042,3.587725302304358e-05,162Yb,0.0,5.67,1132.2
867,-6010.0,4.924328846300098e-06,143Eu,0.0,5.69,155.39999999999998
868,4809.0,1.267523512561158e-08,189Hf,1.0,5.69,0.39999999999999997
871,1989.9281,2.2783735138286816e-06,114In,0.995,2.72,71.9
872,4063.2768,4.3095799427079365e-07,140Xe,1.0,5.69,13.599999999999998
873,5035.0,1.9963495322838236e-07,209Hg,1.0,5.69,6.299999999999999
874,12498.0,3.3589373082870684e-09,50Ar,1.0,5.69,0.10599999999999998
875,-7030.0,1.780870535148427e-07,100In,0.0,5.69,5.62
876,-5557.4266,0.002491444216290212,182Os,0.0,6.7,78624.0
877,*,3.1688087814028947e-10,223Am,0.0,5.69,0.009999999999999998
878,7238.7734,1.112251882272416e-08,140Te,1.0,5.69,0.351
879,-16008.0,2.595254391968971e-09,41Ti,0.0,5.69,0.0819
880,-14535.0,1.929804547874363e-09,45Cr,0.0,5.69,0.060899999999999996
881,4375.8085,1.1772124622911754e-06,23Ne,1.0,5.69,37.15
882,3419.5081,8.726899383983572e-05,158Eu,1.0,195.0,2754.0
883,-4972.1844,5.893984333409384e-06,211Fr,0.0,5.69,185.99999999999997
884,-17479.0,4.753213172104342e-08,88Ru,0.0,5.69,1.4999999999999998
885,9555.8882,1.019088904099171e-08,146Cs,1.0,5.69,0.3216
886,7219.0,3.105432605774837e-08,165Sm,1.0,5.69,0.98
887,-11164.0,1.742844829771592e-07,81Zr,0.0,5.69,5.499999999999999
888,5173.533,3.5015337034501986e-08,108Mo,1.0,5.69,1.1049999999999998
889,-751.1373,375000.0,242Pu,0.0,4754.6,11834100000000.0
890,-6533.0066,9.506426344208685e-11,266Hs,0.0,5.69,0.003
891,11720.0,2.566735112936345e-09,150Cs,1.0,5.69,0.081
892,-445.0,1.901285268841737e-06,284Rg,0.0,5.69,60.0
893,-11788.6592,3.092757370649225e-09,172Pt,0.0,5.69,0.09759999999999999
894,-8603.6798,4.8165893477324e-07,187Pb,0.0,5.69,15.199999999999998
895,-3617.8447,0.0001460187086470454,137Pr,0.0,385.0,4608.0
896,9512.9152,1.7428448297715922e-09,58Ti,1.0,5.69,0.055
897,6090.6528,7.573452987552918e-07,95Sr,1.0,5.69,23.899999999999995
898,4236.479,2.3322432631125302e-06,117Ag,1.0,5.69,73.59999999999998
899,-4261.6599,2.5984232007503735e-07,214Ac,0.0,5.69,8.2
900,1916.7271,0.0005063883185033082,105Ru,1.0,54.1,15980.4
901,8568.8459,1.1471087788678479e-07,30Al,1.0,5.69,3.6199999999999997
902,-7217.3941,2.978680254518721e-07,183Hg,0.0,5.69,9.399999999999999
903,9685.0,5.735543894339239e-09,158Pr,1.0,5.69,0.18099999999999997
906,1009.7971,0.0003536390600045631,167Ho,1.0,73.0,11160.0
907,-6123.3072,6.844626967830253e-07,155Tm,0.0,5.69,21.599999999999998
908,16670.0,3.1688087814028947e-10,48S,0.0,5.69,0.009999999999999998
909,-6510.3575,1.6477805663295053e-06,181Pt,0.0,5.69,51.99999999999999
910,-416.7716,7.91e+20,130Te,0.0,5.69,2.49620616e+28
911,-2141.7493,6.179177123735645e-10,213Rn,0.0,5.69,0.0195
912,-9321.0,1.267523512561158e-08,142Ho,0.0,5.69,0.39999999999999997
913,-6980.0942,1.2231601896215173e-06,157Yb,0.0,5.69,38.599999999999994
916,14810.0,2.218166146982026e-09,90As,0.0,5.69,0.06999999999999999
917,-2891.8615,0.0008229523157654575,211At,0.0,5869.5,25970.4
919,-5940.0,3.3272492204730394e-06,230Pu,0.0,5.69,104.99999999999999
920,-17979.8973,2.595254391968971e-24,8Be,0.0,5.69,8.190000000000001e-17
921,1323.8504,0.00018811316449920146,61Co,1.0,129.5,5936.4
923,-5148.2116,6.977716936649174e-05,203Po,0.0,5383.0,2202.0
924,44.7559,21.772,227Ac,0.9862000000000001,5.69,687072067.1999999
925,-17809.0,1.4060004563084644e-08,38Ca,0.0,5.69,0.4437
926,-4757.0,1.3308996881892158e-05,235Cm,0.0,5.69,419.99999999999994
927,-12371.64,1.7333384034273835e-08,45V,0.0,5.69,0.547
928,-2677.5501,0.00011407711613050422,148Tb,0.0,5.69,3600.0
929,934.1107,0.037152635181382614,143Pr,1.0,315.1,1172448.0
931,274.2911,3.31,174Lu,0.0,177.0,104455656.0
932,-9435.7198,3.707506274241387e-09,177Hg,0.0,5.69,0.11699999999999999
933,12239.6512,2.0280376200978526e-08,38P,1.0,5.69,0.6399999999999999
934,10616.7652,5.63731082211575e-09,82Zn,1.0,5.69,0.1779
935,9171.3131,2.5857479656247622e-08,128In,1.0,5.69,0.816
936,-7695.9856,2.2181661469820262e-07,201Rn,0.0,5.69,6.999999999999999
937,-5219.924,7.478388724110832e-07,110Sb,0.0,5.69,23.6
938,19469.0523,4.0877633280097345e-10,32Na,1.0,5.69,0.0129
939,-5973.362,1.1787968666818769e-08,202Fr,0.0,5.69,0.372
940,-11784.123,3.5395594088270337e-09,52Co,0.0,5.69,0.1117
941,3700.0,2.2181661469820262e-07,184Yb,0.0,5.69,6.999999999999999
942,1452.8946,0.2021081451060917,192Ir,0.9523999999999999,21.1,6378048.0
943,5437.0,3.168808781402895e-07,178Tm,0.0,5.69,10.0
944,-1771.0,0.00011027454559282074,259No,0.0,5.69,3480.0
945,15863.5156,3.5807539229852715e-10,35Mg,1.0,5.69,0.011300000000000001
946,-3039.0,3.168808781402895e-07,288Cn,0.0,5.69,10.0
947,-4252.2191,0.00893908281998631,89Zr,0.0,395.5,282096.0
948,-8784.0,1.330899688189216e-07,153Yb,0.0,5.69,4.2
949,15900.0,6.65449844094608e-10,83Cu,0.0,5.69,0.021
950,1660.854,0.005019393109742185,202Pt,1.0,5.69,158400.0
951,-3980.9605,0.37885284052019164,210Po,0.0,5304.33,11955686.4
952,11561.224,6.052424772479529e-09,58V,1.0,5.69,0.19099999999999998
953,2120.4209,0.0019398813597992241,188Re,1.0,6.7,61217.99999999999
954,-12451.0,2.8519279032626053e-09,160W,0.0,5.69,0.09
955,5750.0,6.33761756280579e-08,205Pt,0.0,5.69,1.9999999999999998
957,-10629.0,2.5984232007503733e-10,159W,0.0,5.69,0.008199999999999997
958,-8957.0,5.70385580652521e-07,115Xe,0.0,5.69,17.999999999999996
959,-5372.5686,9.316297817324511e-06,169Ta,0.0,5.69,294.0
960,-5578.7182,0.0002851927903262606,176W,0.0,5.69,9000.0
961,-7377.2657,3.707506274241387e-05,156Er,0.0,5.69,1170.0
962,565.0,268.0,39Ar,1.0,218.8,8457436800.0
963,-5795.4721,5.1905087839379415e-06,213Ra,0.0,5.69,163.79999999999998
964,8514.7483,2.135777118665551e-08,134Sb,1.0,5.69,0.6739999999999999
965,-13088.708,7.1155601186402e-07,21Na,0.0,5.69,22.454999999999995
966,4916.7109,7.078485055897786e-05,38Cl,1.0,420.0,2233.7999999999997
967,-7681.0475,2.471670849494258e-06,115I,0.0,5.69,78.0
968,318.6462,0.7799753593429158,144Ce,1.0,50.2,24614150.400000002
970,-4981.0,2.535047025122316e-08,251No,0.0,5.69,0.7999999999999999
971,-8055.648,2.249854234796055e-07,179Au,0.0,5.69,7.099999999999999
972,*,1.1692904403376682e-08,252Lr,0.0,5.69,0.369
973,*,9.189545466068395e-16,220Np,0.0,5.69,2.8999999999999998e-08
974,7361.0,1.869597181027708e-07,216Tl,1.0,5.69,5.9
975,-523.986,0.004734200319415925,188Ir,0.0,530.0,149400.0
976,714.8128,5.643648439678555e-11,215Po,2.3e-06,6946.8,0.0017809999999999998
977,-4145.059,1.869597181027708e-13,221Pa,0.0,5.69,5.9e-06
978,2231.7057,4.753213172104342e-05,131Te,1.0,38.7,1499.9999999999998
979,-217.0,3.5807539229852713e-07,272Bh,0.0,5.69,11.299999999999999
980,11719.3136,9.823307222348974e-09,83Ga,1.0,5.69,0.31
981,10225.687,8.650847973229903e-09,130In,1.0,5.69,0.27299999999999996
982,13080.0,6.971379319086369e-10,121Tc,1.0,5.69,0.022
983,268.6983,0.00133,135Cs,1.0,3.55,41971.608
984,8954.0,4.246203767079879e-09,159Pr,1.0,5.69,0.134
985,7262.6008,1.3625877760032448e-07,102Nb,1.0,5.69,4.3
986,-87.5935,1.1724592491190712e-12,215At,0.0,7610.0,3.7000000000000005e-05
987,-5978.5623,1.4069510989428854e-05,203At,0.0,5.69,444.0
988,3396.3337,3.9926990645676475e-06,75Ga,1.0,5.69,125.99999999999999
989,-2342.6641,0.0020134610997033994,193Au,0.0,7.24,63540.0
990,-5118.0,2.0026871498466296e-08,253Lr,0.0,5.69,0.632
991,-767.4346,432.6,241Am,0.0,5321.9,13651817760.0
992,*,1.8379090932136788e-10,212Pa,0.0,5.69,0.005799999999999999
993,-8656.119,2.6237736710015967e-06,186Hg,0.0,5.69,82.79999999999998
994,2602.2183,6.648794585139554e-06,55Cr,1.0,5.69,209.82
995,-4505.0,3.7708824498694447e-08,265Bh,0.0,5.69,1.19
996,-3015.361,5.41866301619895e-08,225Pa,0.0,5.69,1.71
998,-13524.6692,0.002459502623773671,48Cr,0.0,92.0,77616.0
1000,4642.0776,4.2683854285496996e-06,28Al,1.0,1247.2,134.7
1002,2103.2205,9.189545466068395e-07,68Ni,1.0,5.69,28.999999999999996
1004,-3085.0,9.189545466068395e-07,263Db,0.0,5.69,28.999999999999996
1006,*,1.8062210053996502e-12,249No,0.0,5.69,5.7e-05
1007,665.0,3.168808781402895e-09,282Mt,0.0,5.69,0.09999999999999999
1008,-14187.0,3.168808781402895e-08,130Sm,0.0,5.69,0.9999999999999999
1009,2180.722,1.235835424747129e-05,195Os,1.0,5.69,390.0
1010,-2439.0,0.00014259639516313026,163Er,0.0,5.69,4499.999999999999
1011,579.5996,0.0014488250057038557,64Cu,0.3848,278.21,45721.439999999995
1012,-16925.0,5.482039191827008e-09,33Ar,0.0,5.69,0.173
1013,10249.0,1.3562501584404389e-09,98Kr,1.0,5.69,0.04279999999999999
1014,-3794.6493,0.0004697695642254164,149Tb,0.0,3967.0,14824.800000000001
1015,*,1.267523512561158e-08,134Gd,0.0,5.69,0.39999999999999997
1017,-3200.9629,4000.0,93Mo,0.0,2.15,126230400000.0
1018,*,3.7708824498694447e-08,247Md,0.0,5.69,1.19
1019,-4444.5049,0.00020863563769107915,18F,0.0,249.8,6584.039999999999
1020,11638.0,6.242553299363703e-09,104Y,1.0,5.69,0.19699999999999998
1021,1242.232,4.1505057418815115e-05,233Th,1.0,5.69,1309.8
1022,4544.0,1.5844043907014474e-07,227At,0.0,5.69,5.0
1024,702.7199,0.0010666210358202144,127Te,1.0,79.5,33660.0
1025,515.3046,0.008772073921971253,132Te,1.0,59.4,276825.60000000003
1026,-23947.0,1.711156741957563e-28,29Cl,0.0,5.69,5.3999999999999995e-21
1027,-8642.6682,2.1801404416051917e-08,189Bi,0.0,5.69,0.688
1029,5481.4334,2.471670849494258e-06,210Tl,1.0,480.0,78.0
1030,-7346.4628,8.479732299034147e-05,202Po,0.0,5.69,2676.0
1032,-9629.0,1.118589499835222e-08,169Ir,0.0,5.69,0.353
1033,-5462.0,7.922021953507237e-14,223Np,0.0,5.69,2.4999999999999998e-06
1034,7306.0,1.6088042183182497e-08,74Ni,1.0,5.69,0.5076999999999999
1035,14289.0,2.3195680279869193e-09,81Cu,1.0,5.69,0.0732
1036,-2214.6629,7.281922579663852e-05,227Pa,0.0,5.69,2297.9999999999995
1037,14810.0,1.901285268841737e-10,70Cr,0.0,5.69,0.006
1038,-12306.0,1.5527163028874185e-08,184Pb,0.0,5.69,0.49
1039,23356.7903,1.7428448297715922e-10,34Na,1.0,5.69,0.0055
1040,526.5277,9.563464902273936e-05,118Cd,1.0,5.69,3017.9999999999995
1041,11610.0,7.54176489973889e-10,66Cr,1.0,5.69,0.023799999999999998
1042,19121.0,3.1688087814028947e-10,55K,0.0,5.69,0.009999999999999998
1043,12450.0,6.971379319086369e-10,117Mo,1.0,5.69,0.022
1044,3441.9774,0.00010685223210890562,39Cl,1.0,163.0,3372.0
1046,7900.4135,7.319948285040687e-08,37P,1.0,5.69,2.31
1047,-21890.0,6.65449844094608e-10,60Ge,0.0,5.69,0.021
1048,14167.7504,1.2092174309833445e-09,35Al,1.0,5.69,0.03815999999999999
1049,1947.0425,1.4259639516313027e-05,231Ac,1.0,5.69,450.0
1051,-7714.9651,1.3625877760032448e-06,119Cs,0.0,5.69,43.0
1052,-2775.8524,0.0011978097193702942,175Ta,0.0,300.0,37800.0
1053,-2697.0,6.654498440946079e-09,279Ds,0.0,5.69,0.21
1054,-12399.9706,3.168808781402895e-07,114Xe,0.0,5.69,10.0
1055,3505.2147,2.5569751818896237e-08,6He,1.0,5.69,0.8069199999999999
1056,-2694.3302,0.0015084645220168834,123I,0.0,3.19,47603.520000000004
1057,-785.3012,1.6351053312038936e-08,211Po,0.0,6568.3,0.5159999999999999
1058,-7537.2421,5.830608157781326e-07,161Hf,0.0,5.69,18.399999999999995
1059,-10860.075,8.207214743833497e-08,180Hg,0.0,5.69,2.59
1060,-3707.6637,1.6794686541435342e-10,223Pa,0.0,5.69,0.0053
1061,61.0,3.168808781402895e-07,286Rg,0.0,5.69,10.0
1062,2610.2694,1.793862651152179e-05,27Mg,1.0,5.69,566.1
1063,12881.0,1.5844043907014473e-10,74Fe,1.0,5.69,0.004999999999999999
1064,-19720.3745,2.1047227926078028e-08,18Ne,0.0,5.69,0.6642
1065,-2027.1499,0.0021571982660278347,135La,0.0,3.67,68076.0
1066,1373.5226,0.007377522245037646,198Au,1.0,7.42,232816.896
1067,10420.9094,2.2593606611402638e-07,16N,1.0,5.69,7.129999999999999
1068,3648.2396,1.452581945395087e-05,105Tc,1.0,5.69,458.4
1069,-10042.8941,1.394275863817274e-07,109Te,0.0,5.69,4.4
1070,*,1.9012852688417368e-08,137Tb,0.0,5.69,0.6
1071,11166.0229,7.953710041321265e-29,7He,0.0,5.69,2.5099999999999994e-21
1073,15440.0,4.753213172104343e-10,77Co,1.0,5.69,0.015
1074,-20680.0,1.32456207062641e-09,52Ni,0.0,5.69,0.0418
1075,-8304.998,7.700205338809035e-08,175Pt,0.0,5.69,2.43
1076,-9035.1943,2.661799376378432e-07,117Cs,0.0,5.69,8.4
1077,3586.3111,4.33493041295916e-06,238Pa,1.0,5.69,136.79999999999998
1078,167.3218,0.2392060232717317,35S,1.0,48.63,7548768.000000001
1079,-1971.0,0.00029869191573503686,256Fm,0.0,5.69,9426.0
1080,-13917.0,4.128957842167973e-09,65As,0.0,5.69,0.13030000000000003
1081,5527.0,3.168808781402895e-08,229At,0.0,5.69,0.9999999999999999
1082,-6677.4672,2.88995360863944e-05,69As,0.0,321.0,912.0
1083,*,3.2321849570309526e-10,175Hg,0.0,5.69,0.010199999999999999
1085,-1357.0,9.506426344208685e-07,285Rg,0.0,5.69,30.0
1086,*,2.218166146982026e-11,294Og,0.0,5.69,0.0006999999999999999
1088,1620.0,4.372956118335995e-05,247Am,1.0,5.69,1380.0
1089,-7661.0,9.506426344208684e-08,150Tm,0.0,5.69,2.9999999999999996
1090,-16494.4854,2.5350470251223155e-26,9B,0.0,5.69,7.999999999999999e-19
1091,-172.0776,7.07e+18,100Mo,0.0,5.69,2.23112232e+26
1092,*,3.168808781402895e-12,77Zr,0.0,5.69,0.0001
1093,6014.8503,6.65449844094608e-08,123Cd,1.0,5.69,2.1
1094,12191.7329,6.971379319086369e-10,55Ca,1.0,5.69,0.022
1095,1508.9427,4.125789033386569e-05,107Rh,1.0,107.0,1301.9999999999998
1096,5823.0223,1.958323826906989e-07,33Si,1.0,5.69,6.18
1097,-4101.0,1.6351053312038936e-05,231Pu,0.0,5.69,515.9999999999999
1098,378.0,230000.0,126Sn,1.0,70.0,7258248000000.0
1099,14590.0,6.0207366846655e-10,126Rh,1.0,5.69,0.019
1100,2713.5412,8.859989352802494e-06,225Rn,1.0,5.69,279.59999999999997
1101,7992.3346,1.983674297158212e-07,138I,1.0,5.69,6.259999999999999
1102,5271.0196,2.5667351129363448e-08,158Nd,1.0,5.69,0.8099999999999999
1103,-3988.4927,0.00445471138489619,69Ge,0.0,144.9,140580.0
1104,1007.7049,0.0027720739219712527,189Re,1.0,82.0,87480.0
1105,-6061.793,4.837820366567799e-08,34Cl,0.0,2052.57,1.5266999999999997
1106,2824.6411,2.7777777777777776e-05,101Mo,1.0,71.0,876.5999999999999
1108,-6901.8255,5.893984333409384e-06,97Pd,0.0,5.69,185.99999999999997
1109,12757.4969,1.0076811924861206e-09,101Rb,1.0,5.69,0.0318
1110,2960.5756,0.002993292265571526,76As,1.0,87.8,94461.11999999998
1112,4469.0,6.33761756280579e-08,231Rn,0.0,5.69,1.9999999999999998
1113,8930.0,1.5400410677618068e-09,126Pd,1.0,5.69,0.0486
1114,-8683.388,4.4363322939640525e-07,141Gd,0.0,5.69,13.999999999999998
1115,*,6.33761756280579e-11,185Bi,0.0,5.69,0.002
1116,8370.0,5.291910664942834e-09,151Ba,1.0,5.69,0.16699999999999998
1117,6821.2382,1.1883032930260856e-07,97Y,1.0,5.69,3.75
1118,-9322.5103,1.0362004715187467e-06,105Sn,0.0,5.69,32.7
1119,-4606.0,8.112150480391411e-07,249Md,0.0,5.69,25.599999999999998
1120,-3671.2405,0.009103353867214236,87Y,0.0,200.1,287280.0
1121,-9669.6905,7.2248840215986e-06,118Xe,0.0,5.69,228.0
1122,19169.0,2.4082946738662e-10,39Al,1.0,5.69,0.007599999999999999
1123,1235.8904,0.035400410677618066,126I,0.473,216.8,1117151.9999999998
1124,17236.0,1.1344335437422363e-09,43P,1.0,5.69,0.0358
1125,5084.1233,1.4576520394453314e-07,114Ag,1.0,5.69,4.599999999999999
1126,2010.0,0.00011613050422085329,183Hf,1.0,62.0,3664.7999999999997
1127,-5585.0,1.5844043907014473e-10,280Cn,0.0,5.69,0.004999999999999999
1129,-1507.6936,29.1,243Cm,0.0,5.69,918326160.0
1130,7488.4677,6.05242477247953e-07,82As,1.0,5.69,19.1
1131,-619.8711,1380.0,247Bk,0.0,5456.0,43549488000.0
1132,-1025.6117,0.05117864476386037,227Th,0.0,5229.2,1615075.2000000002
1133,-7102.0,2.0533880903490757e-06,125La,0.0,5.69,64.8
1134,2548.2241,0.035619438740588635,136Cs,1.0,47.2,1124064.0
1135,5780.0,1.3942758638172738e-08,176Dy,0.0,5.69,0.44
1136,11513.0,5.0352371536492e-09,77Ni,1.0,5.69,0.1589
1137,3434.9108,2.6998250817552662e-05,143La,1.0,140.0,851.9999999999999
1138,1047.6178,2.5648338276675032e-05,146Ce,1.0,5.69,809.4
1139,-4287.8969,1.5844043907014474e-07,257Rf,0.0,5.69,5.0
1140,442.7892,0.0053045859000684465,72Zn,1.0,72.4,167400.0
1141,4415.0129,2.5667351129363448e-06,211Tl,1.0,5.69,81.0
1142,11199.0,1.901285268841737e-09,147I,0.0,5.69,0.06
1143,593.7166,0.01902258726899384,161Tb,1.0,10.6,600307.2000000001
1145,-3365.6321,0.003885466575404974,169Lu,0.0,409.3,122616.0
1146,-5689.0,1.2928739828123811e-05,236Cm,0.0,5.69,408.0
1147,-464.1779,4.5999999999999995e+18,151Eu,0.0,5.69,1.4516495999999999e+26
1148,-3544.0634,0.00033880903490759757,117Sb,0.0,258.0,10692.000000000002
1149,2190.9095,0.00011768955814130351,240Np,1.0,61.0,3713.9999999999995
1150,5175.0,1.5844043907014474e-07,194Re,1.0,5.69,5.0
1151,2930.0,5.684842953836794e-06,168Ho,1.0,5.69,179.4
1152,13522.0,3.263873044844982e-09,135In,1.0,5.69,0.103
1154,*,1.4576520394453315e-08,114Ba,0.0,5.69,0.45999999999999996
1155,-4569.0,7.003067406900398e-07,243Es,0.0,5.69,22.1
1156,7230.0,1.267523512561158e-08,173Tb,0.0,5.69,0.39999999999999997
1157,640.9158,0.001437371663244353,200Pt,1.0,52.0,45360.0
1158,-2958.0,3.4223134839151265e-06,267Sg,0.0,5.69,108.0
1159,2846.5103,3.1212766496818513e-06,217Bi,1.0,5.69,98.49999999999999
1160,2470.1898,0.01469678302532512,148Pm,1.0,123.0,463795.2
1161,9918.3897,2.924810505234872e-08,136Sb,1.0,5.69,0.9229999999999999
1162,-10600.0,6.0207366846655e-07,75Rb,0.0,5.69,18.999999999999996
1163,-214.1127,0.005795117499429614,240Am,0.0,10.3,182879.99999999997
1164,-802.1402,24110.0,239Pu,0.0,5008.13,760853736000.0
1165,15475.0,4.119451415823763e-10,122Tc,0.0,5.69,0.013
1166,4234.2623,4.5947727330341974e-07,143Ba,1.0,5.69,14.499999999999998
1167,2045.0163,20400.0,94Nb,1.0,145.9,643775040000.0
1168,-10600.0,5.7038558065252106e-08,127Nd,0.0,5.69,1.7999999999999998
1169,-11273.0,1.235835424747129e-07,83Nb,0.0,5.69,3.9
1170,-5572.7197,0.00646817248459959,166Yb,0.0,5.67,204120.00000000003
1171,-1533.0,1.5844043907014474e-07,292Mc,0.0,5.69,5.0
1172,*,1.5844043907014474e-09,78Zr,0.0,5.69,0.049999999999999996
1173,-7016.6496,2.1570715136765788e-08,42Sc,0.0,5.69,0.68072
1174,2366.3263,4.563084645220168e-06,119In,1.0,516.0,143.99999999999997
1175,13551.6204,1.625598904859685e-09,100Rb,1.0,5.69,0.05129999999999999
1177,-311.331,7916.0,229Th,0.0,4484.0,249809961600.0
1178,-2103.3047,6.882652673207088e-05,233Np,0.0,9.89,2172.0
1179,-395.1807,0.012046543463381246,234Np,0.0,380.0,380160.0
1181,-499.8388,14000000000.0,232Th,0.0,3811.1,4.418064e+17
1182,*,1.9012852688417368e-08,139Dy,0.0,5.69,0.6
1183,10451.2656,1.9963495322838236e-09,38Si,0.0,5.69,0.06299999999999999
1184,9240.2095,8.28643496336857e-09,131In,1.0,5.69,0.26149999999999995
1185,6883.9455,2.6427865236900145e-06,136I,1.0,5.69,83.4
1186,-3127.0,3.168808781402895e-09,276Hs,0.0,5.69,0.09999999999999999
1187,-3435.0112,5.545415367455066e-11,221Th,0.0,5.69,0.00175
1189,-1295.1978,3.4223134839151265e-06,226Pa,0.0,5.69,108.0
1190,-4480.6319,0.00018442467107764848,133Ce,0.0,5.69,5820.0
1191,1492.449,0.0008574036048368697,171Er,1.0,26.0,27057.6
1192,6632.6837,5.507389662078231e-07,47K,1.0,5.69,17.38
1193,12016.946,1.3137881207696402e-09,33Al,1.0,5.69,0.04146
1194,-4472.9637,483000000000.0,190Pt,0.0,5.69,1.52423208e+19
1195,-82.6155,9.3e+18,150Nd,0.0,5.69,2.9348568e+26
1198,1688.8697,0.00019712525667351128,149Nd,1.0,52.0,6220.799999999999
1199,556.8759,0.001387,10Be,1.0,202.64,43770.3912
1200,20335.4399,2.0597257079118816e-29,16Be,0.0,5.69,6.4999999999999995e-22
1201,-9688.1182,9.189545466068395e-08,181Tl,0.0,5.69,2.9
1202,-7417.0,4.404644206150024e-09,174Au,0.0,5.69,0.13899999999999998
1203,*,1.2992116003751866e-10,141Ho,0.0,5.69,0.004099999999999999
1205,7503.7365,6.4041625472152505e-09,100Sr,1.0,5.69,0.2021
1207,-764.2709,0.0005726671229751312,244Bk,0.0,5.69,18072.0
1208,-21463.0,1.6604558014551168e-09,40Ti,0.0,5.69,0.052399999999999995
1209,-5835.8106,4.5250589398433334e-06,171W,0.0,5.69,142.79999999999998
1210,4865.1258,9.601490607650771e-06,37S,1.0,5.69,302.99999999999994
1212,-4256.8282,3.8025705376834734e-07,178Ir,0.0,5.69,11.999999999999998
1213,-1001.0,2.794889345197353e-05,232Np,0.0,743.5,881.9999999999999
1214,-18915.0,2.7188379344436836e-10,13O,0.0,5.69,0.008579999999999999
1215,11239.0,1.330899688189216e-09,123Rh,1.0,5.69,0.042
1216,4859.3866,1.0457068978629552e-06,218Bi,1.0,5.69,32.99999999999999
1217,*,3.168808781402895e-09,228Am,0.0,5.69,0.09999999999999999
1218,-11619.0452,7.934063426876568e-08,33Cl,0.0,5.69,2.5037999999999996
1219,*,3.168808781402895e-12,221Pu,0.0,5.69,0.0001
1220,*,5.608791543083124e-09,288Mc,0.0,5.69,0.177
1221,-11800.0,1.7428448297715922e-09,86Tc,0.0,5.69,0.055
1222,1369.7517,8.650847973229903e-06,108Ru,1.0,5.69,273.0
1223,2301.6217,1.44497680431972e-05,162Tb,1.0,5.69,456.0
1224,9349.0622,1.3625877760032448e-09,64Cr,1.0,5.69,0.043
1225,3721.7197,5.114457373184272e-06,119Cd,1.0,5.69,161.39999999999998
1226,6027.1455,7.646335589525184e-07,137I,1.0,5.69,24.129999999999995
1227,*,1.1217583086166248e-11,218U,0.0,5.69,0.000354
1228,-3104.4174,5.127132608309884e-06,152Ho,0.0,5.69,161.79999999999998
1230,*,8.555783709787816e-11,258Sg,0.0,5.69,0.0026999999999999997
1231,-13190.0,3.168808781402895e-08,136Gd,0.0,5.69,0.9999999999999999
1232,1588.0317,3.5078713210130045e-05,81Se,1.0,257.6,1107.0
1233,-5588.8595,3.2321849570309525e-13,220Th,0.0,5.69,1.0199999999999999e-05
1234,2452.4891,0.04158795345653662,156Eu,1.0,38.0,1312416.0
1235,7887.0,3.1371206935888658e-09,118Ru,1.0,5.69,0.09899999999999999
1236,-4791.7118,5.836945775344132e-05,97Rh,0.0,5.69,1841.9999999999998
1237,9690.0,9.094481202626308e-09,152La,1.0,5.69,0.287
1238,-3116.1405,0.0011293634496919917,155Dy,0.0,390.5,35640.0
