,Beta-decay energy (keV),Half life (years),Isotope,Beta-decay fraction,Average beta decay energy,Half life (seconds)
37,4280.0,3.802570537683474e-06,182Lu,1.0,5.69,120.0
40,-3830.6268,9.126169290440338e-05,155Ho,0.0,398.0,2880.0
41,-8239.277,4.784901259918371e-07,101In,0.0,5.69,15.099999999999998
42,-1254.5923,0.0006297056810403832,257Md,0.0,5.69,19871.999999999996
43,1859.2451,2.0597257079118815e-06,228Rn,1.0,5.69,64.99999999999999
44,-7024.0,3.105432605774837e-07,84Nb,0.0,5.69,9.8
45,8123.9327,1.0076811924861206e-08,115Ru,1.0,5.69,0.318
46,4110.0,6.33761756280579e-08,202Os,0.0,5.69,1.9999999999999998
47,10987.704,7.034755494714426e-10,60Ti,1.0,5.69,0.022199999999999998
48,-3389.0,1.9583238269069892e-05,235Am,0.0,5.69,618.0
49,2003.3657,9.506426344208685e-12,216At,0.0,7240.0,0.00030000000000000003
50,-9368.9796,1.0152863335614875e-07,58Cu,0.0,5.69,3.2039999999999997
52,*,3.168808781402895e-12,75Y,0.0,5.69,0.0001
53,5649.0,1.679468654143534e-07,190Ta,1.0,5.69,5.299999999999999
54,*,4.563084645220169e-09,271Ds,0.0,5.69,0.144
55,18386.5096,2.8519279032626053e-09,36Al,1.0,5.69,0.09
56,-2148.3639,0.00020990189368012778,196Tl,0.0,5.69,6624.0
57,-11319.0,7.605141075366947e-07,120Ba,0.0,5.69,23.999999999999996
58,3200.0,1.6794686541435342e-06,171Ho,1.0,5.69,52.99999999999999
59,*,7.763581514437093e-11,190Po,0.0,5.69,0.00245
60,6482.6122,3.9293228889395894e-07,51Sc,1.0,5.69,12.399999999999999
61,-9447.8181,0.0006342687656856034,90Mo,0.0,477.0,20015.999999999996
62,-12719.0,4.1828275914518214e-08,89Ru,0.0,5.69,1.32
63,-3164.0,1.4576520394453314e-07,285Nh,0.0,5.69,4.599999999999999
64,7856.0,6.812938880016224e-09,161Nd,1.0,5.69,0.21499999999999997
65,-124.2619,0.704,235U,0.0,4074.0,22216550.4
66,13861.3774,1.4956777448221663e-08,50K,1.0,5.69,0.472
67,2681.6854,5.41866301619895e-06,69Cu,1.0,5.69,171.0
68,11731.0,9.03110502699825e-10,59Ti,1.0,5.69,0.028499999999999998
69,-7227.521,3.232184957030953e-06,113Te,0.0,5.69,102.0
70,-870.3384,1.7618576824600094e-06,220Rn,0.0,5747.76,55.599999999999994
71,-8029.3747,9.630009886683397e-05,136Nd,0.0,285.0,3039.0
72,12309.0,2.5350470251223157e-09,95Br,0.0,5.69,0.07999999999999999
73,6550.0,9.506426344208684e-08,180Tm,0.0,5.69,2.9999999999999996
74,3023.4392,4.011711917256065e-06,165Tb,1.0,5.69,126.6
75,5129.086,4.5313965574061396e-07,86Se,1.0,5.69,14.299999999999999
76,2904.8622,5.513727279641037e-06,85Br,1.0,5.69,173.99999999999997
77,-428.9806,6.445357061373488e-06,140Pr,0.0,1067.0,203.4
78,8081.0,3.168808781402895e-08,218Tl,0.0,5.69,0.9999999999999999
79,-1574.7296,0.0005570765837706289,94Tc,0.0,129.0,17580.0
80,-3167.0,1.7111567419575632e-06,250Md,0.0,5.69,54.0
81,-8288.1073,1.617993763784318e-05,53Fe,0.0,5.69,510.59999999999997
83,-13612.0,8.555783709787816e-08,112Xe,0.0,5.69,2.6999999999999997
85,1168.5917,0.0010426648414328086,135Xe,1.0,23.0,32904.0
86,2353.0,5.703855806525211e-06,249Am,0.0,5.69,180.0
88,925.6009,0.09580013689253936,95Nb,1.0,43.36,3023222.4
89,-2279.0,0.08980150581793292,241Cm,0.0,5884.7,2833920.0
90,-3434.5345,0.00020647958019621263,163Tm,0.0,5.69,6516.0
91,2558.9318,5.7228686592136274e-06,145Ce,1.0,5.69,180.59999999999997
92,11940.3857,2.1642963976981772e-07,48K,1.0,5.69,6.829999999999999
