,Isotope,Residuals (W/g),Power density (W/g),Half life (years),Half life (log(years))
1695,121Ce,-6.77309931678673,1060524.5556599123,3.485689659543185e-08,-17.172014825618632
1696,159Ho,-381.96393959820085,21525.68909669307,6.28374781352194e-05,-9.67495887690316
1697,183Ir,-27593.307466699385,298.741423715159,0.00011027454559282074,-9.112537432654436
1698,154Tb,-7940.389262865488,1038.0504501376242,0.0011400866986082591,-6.7766509680567415
1699,164Ta,-102.37955033696782,79740.7482637093,4.49970846959211e-07,-14.614083040815741
1700,283Ds,-738.9285228091877,11141.025713860014,1.901285268841737e-06,-13.172980443200855
1701,68Cr,-1.0421154375415562,4036776.054619029,3.1688087814028947e-10,-21.872495191411048
1702,118Mo,-2.543670906322129,2326277.726390616,6.65449844094608e-10,-21.13055784668167
1703,49Fe,-0.4715570989314244,5601931.929805309,2.050219281567673e-09,-20.00531908289824
1704,127La,-1684.632314468403,4890.486868505119,9.696554871092858e-06,-11.543739903470575
1705,35P,-71.25257825545525,114093.68216438984,1.4988465536035691e-06,-13.410814709925068
1706,96Ag,-18.987653064060098,412432.7489883447,1.410119907724288e-07,-15.774420909244807
1707,133Ba,-2970994208.5210176,0.0027746815098520974,10.5379,2.354978282275377
1708,223Th,-8.776269242905345,843221.7335890154,1.9012852688417368e-08,-17.778150629188946
1709,16C,0.20335246701194454,10347816.766739696,2.3766065860521712e-08,-17.555007077874738
1710,80Zr,-16.175270635172478,479966.97543466877,1.4576520394453314e-07,-15.741268701927908
1711,162Os,-3.865039718849002,1694449.208111691,6.654498440946079e-11,-23.433142939675715
1712,210Au,-93.17372992470803,87535.69286919346,3.168808781402895e-07,-14.96473991242891
1713,104Sr,-2.123238885780399,2639427.5303651034,1.6034172433898649e-09,-20.251128708111672
1714,104Sb,-3.049989547204424,2035452.8333846885,1.4893401272593606e-08,-18.02234758970099
1715,255Cf,-56347.944258627744,146.2948917232539,0.00016160924785154764,-8.730329186710538
1716,111Xe,-4.481974858514203,1503757.8449000574,2.344918498238142e-08,-17.56843009820688
1717,88As,-1.8624267023050505,2879920.974883742,8.555783709787816e-09,-18.57665832540672
1718,108Tc,-24.84926180555086,318909.0180233076,1.6382741399852965e-07,-15.624452316902618
1719,169W,-543.3732018387757,15143.219157722373,2.3449184982381422e-06,-12.963259912218787
1720,83Y,-1527.842639164727,5392.0282492509705,1.3461099703399498e-05,-11.215706535495226
1721,66Ga,-3470.196189819884,2374.8478185162344,0.0010613734884782112,-6.848191465762391
1722,139Tb,-10.873034755640038,694309.6578673521,5.070094050244632e-08,-16.79732137617722
1723,44Cr,-0.3213689348794261,6238653.324923092,1.3562501584404389e-09,-20.41854218181734
1724,150Ho,-500.36816040609045,16442.134443397088,2.433645144117423e-06,-12.926120365269329
1725,42K,-22033.835866956135,374.115003570225,0.0014094227697923796,-6.564575041538181
1726,221Po,-1266.2196123250885,6505.236045005938,4.182827591451822e-06,-12.384523082836585
1727,79Ga,-9.98224206649726,750626.5705236695,9.024767409435444e-08,-16.220708011873228
1728,131Ba,-8758500.027214922,0.9412070254282942,0.03154004106776181,-3.4564973953630638
1729,288Fl,-12.223557066407778,623399.7900592875,2.0692321342560903e-08,-17.693503155128663
1730,112Zr,-2.3634845858770874,2450899.502750646,1.3625877760032448e-09,-20.41388016871153
1731,200Rn,-11.764283032802114,645830.453449756,3.454001571729155e-08,-17.181147309181902
1732,123In,-33.761818498525166,237144.17297775616,1.955155018125586e-07,-15.447626167505659
